Robot Number,Vial Site (1),Vial Site (2),Concatenated Vial site,Experiment Name,Bulk Actual Temp (C),Crystal Score,identifier,_out_predicted,modelname,participantname,notes,class_probability
1,A,1,A1,Mansoor Manual Run,,4,,,escalate_ManualSpecification_1,Mansoor N,,
2,C,1,C1,Mansoor Manual Run,,1,,,escalate_ManualSpecification_1,Mansoor N,,
3,E,1,E1,Mansoor Manual Run,,3,,,escalate_ManualSpecification_1,Mansoor N,,
4,G,1,G1,Mansoor Manual Run,,1,,,escalate_ManualSpecification_1,Mansoor N,,
5,A,3,A3,Mansoor Manual Run,,2,,,escalate_ManualSpecification_1,Mansoor N,,
6,C,3,C3,Mansoor Manual Run,,2,,,escalate_ManualSpecification_1,Mansoor N,,
7,E,3,E3,Mansoor Manual Run,,4,,,escalate_ManualSpecification_1,Mansoor N,,
8,G,3,G3,Mansoor Manual Run,,1,,,escalate_ManualSpecification_1,Mansoor N,,
9,A,5,A5,Mansoor Manual Run,,1,,,escalate_ManualSpecification_1,Mansoor N,,
10,C,5,C5,Mansoor Manual Run,,3,,,escalate_ManualSpecification_1,Mansoor N,,
11,E,5,E5,Mansoor Manual Run,,3,,,escalate_ManualSpecification_1,Mansoor N,,
12,G,5,G5,Mansoor Manual Run,,1,,,escalate_ManualSpecification_1,Mansoor N,,
13,A,7,A7,Mansoor Manual Run,,3,,,escalate_ManualSpecification_1,Mansoor N,,
14,C,7,C7,Mansoor Manual Run,,3,,,escalate_ManualSpecification_1,Mansoor N,,
15,E,7,E7,Mansoor Manual Run,,3,,,escalate_ManualSpecification_1,Mansoor N,,
16,G,7,G7,Mansoor Manual Run,,2,,,escalate_ManualSpecification_1,Mansoor N,,
17,A,9,A9,Mansoor Manual Run,,3,,,escalate_ManualSpecification_1,Mansoor N,,
18,C,9,C9,Mansoor Manual Run,,2,,,escalate_ManualSpecification_1,Mansoor N,,
19,E,9,E9,Mansoor Manual Run,,1,,,escalate_ManualSpecification_1,Mansoor N,,
20,G,9,G9,Mansoor Manual Run,,1,,,escalate_ManualSpecification_1,Mansoor N,,
21,A,11,A11,Mansoor Manual Run,,3,,,escalate_ManualSpecification_1,Mansoor N,,
22,C,11,C11,Mansoor Manual Run,,3,,,escalate_ManualSpecification_1,Mansoor N,,
23,E,11,E11,Mansoor Manual Run,,2,,,escalate_ManualSpecification_1,Mansoor N,,
24,G,11,G11,Mansoor Manual Run,,2,,,escalate_ManualSpecification_1,Mansoor N,,
