Robot Number,Vial Site (1),Vial Site (2),Concatenated Vial site,Experiment Name,Bulk Actual Temp (C),Crystal Score,identifier,_out_predicted,modelname,participantname,notes,class_probability
25,A,4,A4,New Region,95,1,,,escalate_ExpertQuasiRandom_2.5,escalate,,
29,B,4,B4,New Region,95,1,,,escalate_ExpertQuasiRandom_2.5,escalate,,
26,C,4,C4,New Region,95,1,,,escalate_ExpertQuasiRandom_2.5,escalate,,
30,D,4,D4,New Region,95,2,,,escalate_ExpertQuasiRandom_2.5,escalate,,
27,E,4,E4,New Region,95,1,,,escalate_ExpertQuasiRandom_2.5,escalate,,
31,F,4,F4,New Region,95,1,,,escalate_ExpertQuasiRandom_2.5,escalate,,
28,G,4,G4,New Region,95,1,,,escalate_ExpertQuasiRandom_2.5,escalate,,
32,H,4,H4,New Region,95,2,,,escalate_ExpertQuasiRandom_2.5,escalate,,
33,A,5,A5,New Region,95,1,,,escalate_ExpertQuasiRandom_2.5,escalate,,
37,B,5,B5,New Region,95,1,,,escalate_ExpertQuasiRandom_2.5,escalate,,
34,C,5,C5,New Region,95,1,,,escalate_ExpertQuasiRandom_2.5,escalate,,
38,D,5,D5,New Region,95,2,,,escalate_ExpertQuasiRandom_2.5,escalate,,
35,E,5,E5,New Region,95,1,,,escalate_ExpertQuasiRandom_2.5,escalate,,
39,F,5,F5,New Region,95,2,,,escalate_ExpertQuasiRandom_2.5,escalate,,
36,G,5,G5,New Region,95,2,,,escalate_ExpertQuasiRandom_2.5,escalate,,
40,H,5,H5,New Region,95,1,,,escalate_ExpertQuasiRandom_2.5,escalate,,
41,A,6,A6,New Region,95,1,,,escalate_ExpertQuasiRandom_2.5,escalate,,
45,B,6,B6,New Region,95,1,,,escalate_ExpertQuasiRandom_2.5,escalate,,
42,C,6,C6,New Region,95,1,,,escalate_ExpertQuasiRandom_2.5,escalate,,
46,D,6,D6,New Region,95,1,,,escalate_ExpertQuasiRandom_2.5,escalate,,
43,E,6,E6,New Region,95,1,,,escalate_ExpertQuasiRandom_2.5,escalate,,
47,F,6,F6,New Region,95,1,,,escalate_ExpertQuasiRandom_2.5,escalate,,
44,G,6,G6,New Region,95,1,,,escalate_ExpertQuasiRandom_2.5,escalate,,
48,H,6,H6,New Region,95,1,,,escalate_ExpertQuasiRandom_2.5,escalate,,
49,A,7,A7,New Region,95,1,,,escalate_ExpertQuasiRandom_2.5,escalate,,
53,B,7,B7,New Region,95,1,,,escalate_ExpertQuasiRandom_2.5,escalate,,
50,C,7,C7,New Region,95,1,,,escalate_ExpertQuasiRandom_2.5,escalate,,
54,D,7,D7,New Region,95,2,,,escalate_ExpertQuasiRandom_2.5,escalate,,
51,E,7,E7,New Region,95,1,,,escalate_ExpertQuasiRandom_2.5,escalate,,
55,F,7,F7,New Region,95,1,,,escalate_ExpertQuasiRandom_2.5,escalate,,
52,G,7,G7,New Region,95,2,,,escalate_ExpertQuasiRandom_2.5,escalate,,
56,H,7,H7,New Region,95,1,,,escalate_ExpertQuasiRandom_2.5,escalate,,
57,A,8,A8,New Region,95,2,,,escalate_ExpertQuasiRandom_2.5,escalate,,
61,B,8,B8,New Region,95,1,,,escalate_ExpertQuasiRandom_2.5,escalate,,
58,C,8,C8,New Region,95,1,,,escalate_ExpertQuasiRandom_2.5,escalate,,
62,D,8,D8,New Region,95,1,,,escalate_ExpertQuasiRandom_2.5,escalate,,
59,E,8,E8,New Region,95,1,,,escalate_ExpertQuasiRandom_2.5,escalate,,
63,F,8,F8,New Region,95,1,,,escalate_ExpertQuasiRandom_2.5,escalate,,
60,G,8,G8,New Region,95,1,,,escalate_ExpertQuasiRandom_2.5,escalate,,
64,H,8,H8,New Region,95,1,,,escalate_ExpertQuasiRandom_2.5,escalate,,
65,A,9,A9,New Region,95,1,,,escalate_ExpertQuasiRandom_2.5,escalate,,
69,B,9,B9,New Region,95,1,,,escalate_ExpertQuasiRandom_2.5,escalate,,
66,C,9,C9,New Region,95,1,,,escalate_ExpertQuasiRandom_2.5,escalate,,
70,D,9,D9,New Region,95,1,,,escalate_ExpertQuasiRandom_2.5,escalate,,
67,E,9,E9,New Region,95,1,,,escalate_ExpertQuasiRandom_2.5,escalate,,
71,F,9,F9,New Region,95,1,,,escalate_ExpertQuasiRandom_2.5,escalate,,
68,G,9,G9,New Region,95,1,,,escalate_ExpertQuasiRandom_2.5,escalate,,
72,H,9,H9,New Region,95,1,,,escalate_ExpertQuasiRandom_2.5,escalate,,
73,A,10,A10,New Region,95,1,,,escalate_ExpertQuasiRandom_2.5,escalate,,
77,B,10,B10,New Region,95,1,,,escalate_ExpertQuasiRandom_2.5,escalate,,
74,C,10,C10,New Region,95,1,,,escalate_ExpertQuasiRandom_2.5,escalate,,
78,D,10,D10,New Region,95,1,,,escalate_ExpertQuasiRandom_2.5,escalate,,
75,E,10,E10,New Region,95,1,,,escalate_ExpertQuasiRandom_2.5,escalate,,
79,F,10,F10,New Region,95,2,,,escalate_ExpertQuasiRandom_2.5,escalate,,
76,G,10,G10,New Region,95,1,,,escalate_ExpertQuasiRandom_2.5,escalate,,
80,H,10,H10,New Region,95,1,,,escalate_ExpertQuasiRandom_2.5,escalate,,
81,A,11,A11,New Region,95,1,,,escalate_ExpertQuasiRandom_2.5,escalate,,
85,B,11,B11,New Region,95,1,,,escalate_ExpertQuasiRandom_2.5,escalate,,
82,C,11,C11,New Region,95,1,,,escalate_ExpertQuasiRandom_2.5,escalate,,
86,D,11,D11,New Region,95,1,,,escalate_ExpertQuasiRandom_2.5,escalate,,
83,E,11,E11,New Region,95,3,,,escalate_ExpertQuasiRandom_2.5,escalate,,
87,F,11,F11,New Region,95,1,,,escalate_ExpertQuasiRandom_2.5,escalate,,
84,G,11,G11,New Region,95,1,,,escalate_ExpertQuasiRandom_2.5,escalate,,
88,H,11,H11,New Region,95,1,,,escalate_ExpertQuasiRandom_2.5,escalate,,
89,A,12,A12,New Region,95,1,,,escalate_ExpertQuasiRandom_2.5,escalate,,
93,B,12,B12,New Region,95,1,,,escalate_ExpertQuasiRandom_2.5,escalate,,
90,C,12,C12,New Region,95,1,,,escalate_ExpertQuasiRandom_2.5,escalate,,
94,D,12,D12,New Region,95,1,,,escalate_ExpertQuasiRandom_2.5,escalate,,
91,E,12,E12,New Region,95,1,,,escalate_ExpertQuasiRandom_2.5,escalate,,
95,F,12,F12,New Region,95,1,,,escalate_ExpertQuasiRandom_2.5,escalate,,
92,G,12,G12,New Region,95,1,,,escalate_ExpertQuasiRandom_2.5,escalate,,
96,H,12,H12,New Region,95,1,,,escalate_ExpertQuasiRandom_2.5,escalate,,
