Robot Number,Vial Site (1),Vial Site (2),Concatenated Vial site,Experiment Name,Bulk Actual Temp (C),Crystal Score,identifier,_out_predicted,modelname,participantname,notes,class_probability
1,A,1,A1,New Region,95,2,,,escalate_ExpertQuasiRandom_2.5,escalate,,
5,B,1,B1,New Region,95,1,,,escalate_ExpertQuasiRandom_2.5,escalate,,
2,C,1,C1,New Region,95,1,,,escalate_ExpertQuasiRandom_2.5,escalate,,
6,D,1,D1,New Region,95,1,,,escalate_ExpertQuasiRandom_2.5,escalate,,
3,E,1,E1,New Region,95,2,,,escalate_ExpertQuasiRandom_2.5,escalate,,
7,F,1,F1,New Region,95,1,,,escalate_ExpertQuasiRandom_2.5,escalate,,
4,G,1,G1,New Region,95,2,,,escalate_ExpertQuasiRandom_2.5,escalate,,
8,H,1,H1,New Region,95,2,,,escalate_ExpertQuasiRandom_2.5,escalate,,
9,A,2,A2,New Region,95,1,,,escalate_ExpertQuasiRandom_2.5,escalate,,
13,B,2,B2,New Region,95,1,,,escalate_ExpertQuasiRandom_2.5,escalate,,
10,C,2,C2,New Region,95,1,,,escalate_ExpertQuasiRandom_2.5,escalate,,
14,D,2,D2,New Region,95,1,,,escalate_ExpertQuasiRandom_2.5,escalate,,
11,E,2,E2,New Region,95,2,,,escalate_ExpertQuasiRandom_2.5,escalate,,
15,F,2,F2,New Region,95,1,,,escalate_ExpertQuasiRandom_2.5,escalate,,
12,G,2,G2,New Region,95,1,,,escalate_ExpertQuasiRandom_2.5,escalate,,
16,H,2,H2,New Region,95,1,,,escalate_ExpertQuasiRandom_2.5,escalate,,
17,A,3,A3,New Region,95,1,,,escalate_ExpertQuasiRandom_2.5,escalate,,
21,B,3,B3,New Region,95,2,,,escalate_ExpertQuasiRandom_2.5,escalate,,
18,C,3,C3,New Region,95,1,,,escalate_ExpertQuasiRandom_2.5,escalate,,
22,D,3,D3,New Region,95,1,,,escalate_ExpertQuasiRandom_2.5,escalate,,
19,E,3,E3,New Region,95,1,,,escalate_ExpertQuasiRandom_2.5,escalate,,
23,F,3,F3,New Region,95,1,,,escalate_ExpertQuasiRandom_2.5,escalate,,
20,G,3,G3,New Region,95,1,,,escalate_ExpertQuasiRandom_2.5,escalate,,
24,H,3,H3,New Region,95,1,,,escalate_ExpertQuasiRandom_2.5,escalate,,
