Robot Number,Vial Site (1),Vial Site (2),Concatenated Vial site,Bulk Actual Temp (C),Crystal Score,identifier,_out_predicted,modelname,participantname,notes,class_probability
1,A,1,A1,95,4,,4,escalate_ReproducabilityTesting_0,Ian Pendleton,Nearly_Reproducing_Runs	Ian Pendleton	Reproducing Runs 1-24 from 2018-09-10T22_54_34.498665+00_00_LBL (not exactly the same stock),
5,B,1,B1,95,3,,4,escalate_ReproducabilityTesting_0,Ian Pendleton,Nearly_Reproducing_Runs	Ian Pendleton	Reproducing Runs 1-24 from 2018-09-10T22_54_34.498665+00_00_LBL (not exactly the same stock),
2,C,1,C1,95,4,,4,escalate_ReproducabilityTesting_0,Ian Pendleton,Nearly_Reproducing_Runs	Ian Pendleton	Reproducing Runs 1-24 from 2018-09-10T22_54_34.498665+00_00_LBL (not exactly the same stock),
6,D,1,D1,95,4,,4,escalate_ReproducabilityTesting_0,Ian Pendleton,Nearly_Reproducing_Runs	Ian Pendleton	Reproducing Runs 1-24 from 2018-09-10T22_54_34.498665+00_00_LBL (not exactly the same stock),
3,E,1,E1,95,4,,4,escalate_ReproducabilityTesting_0,Ian Pendleton,Nearly_Reproducing_Runs	Ian Pendleton	Reproducing Runs 1-24 from 2018-09-10T22_54_34.498665+00_00_LBL (not exactly the same stock),
7,F,1,F1,95,3,,2,escalate_ReproducabilityTesting_0,Ian Pendleton,Nearly_Reproducing_Runs	Ian Pendleton	Reproducing Runs 1-24 from 2018-09-10T22_54_34.498665+00_00_LBL (not exactly the same stock),
4,G,1,G1,95,3,,3,escalate_ReproducabilityTesting_0,Ian Pendleton,Nearly_Reproducing_Runs	Ian Pendleton	Reproducing Runs 1-24 from 2018-09-10T22_54_34.498665+00_00_LBL (not exactly the same stock),
8,H,1,H1,95,1,,2,escalate_ReproducabilityTesting_0,Ian Pendleton,Nearly_Reproducing_Runs	Ian Pendleton	Reproducing Runs 1-24 from 2018-09-10T22_54_34.498665+00_00_LBL (not exactly the same stock),
9,A,2,A2,95,2,,1,escalate_ReproducabilityTesting_0,Ian Pendleton,Nearly_Reproducing_Runs	Ian Pendleton	Reproducing Runs 1-24 from 2018-09-10T22_54_34.498665+00_00_LBL (not exactly the same stock),
13,B,2,B2,95,3,,3,escalate_ReproducabilityTesting_0,Ian Pendleton,Nearly_Reproducing_Runs	Ian Pendleton	Reproducing Runs 1-24 from 2018-09-10T22_54_34.498665+00_00_LBL (not exactly the same stock),
10,C,2,C2,95,2,,3,escalate_ReproducabilityTesting_0,Ian Pendleton,Nearly_Reproducing_Runs	Ian Pendleton	Reproducing Runs 1-24 from 2018-09-10T22_54_34.498665+00_00_LBL (not exactly the same stock),
14,D,2,D2,95,4,,3,escalate_ReproducabilityTesting_0,Ian Pendleton,Nearly_Reproducing_Runs	Ian Pendleton	Reproducing Runs 1-24 from 2018-09-10T22_54_34.498665+00_00_LBL (not exactly the same stock),
11,E,2,E2,95,3,,4,escalate_ReproducabilityTesting_0,Ian Pendleton,Nearly_Reproducing_Runs	Ian Pendleton	Reproducing Runs 1-24 from 2018-09-10T22_54_34.498665+00_00_LBL (not exactly the same stock),
15,F,2,F2,95,3,,4,escalate_ReproducabilityTesting_0,Ian Pendleton,Nearly_Reproducing_Runs	Ian Pendleton	Reproducing Runs 1-24 from 2018-09-10T22_54_34.498665+00_00_LBL (not exactly the same stock),
12,G,2,G2,95,3,,3,escalate_ReproducabilityTesting_0,Ian Pendleton,Nearly_Reproducing_Runs	Ian Pendleton	Reproducing Runs 1-24 from 2018-09-10T22_54_34.498665+00_00_LBL (not exactly the same stock),
16,H,2,H2,95,2,,4,escalate_ReproducabilityTesting_0,Ian Pendleton,Nearly_Reproducing_Runs	Ian Pendleton	Reproducing Runs 1-24 from 2018-09-10T22_54_34.498665+00_00_LBL (not exactly the same stock),
17,A,3,A3,95,2,,2,escalate_ReproducabilityTesting_0,Ian Pendleton,Nearly_Reproducing_Runs	Ian Pendleton	Reproducing Runs 1-24 from 2018-09-10T22_54_34.498665+00_00_LBL (not exactly the same stock),
21,B,3,B3,95,4,,2,escalate_ReproducabilityTesting_0,Ian Pendleton,Nearly_Reproducing_Runs	Ian Pendleton	Reproducing Runs 1-24 from 2018-09-10T22_54_34.498665+00_00_LBL (not exactly the same stock),
18,C,3,C3,95,4,,4,escalate_ReproducabilityTesting_0,Ian Pendleton,Nearly_Reproducing_Runs	Ian Pendleton	Reproducing Runs 1-24 from 2018-09-10T22_54_34.498665+00_00_LBL (not exactly the same stock),
22,D,3,D3,95,4,,4,escalate_ReproducabilityTesting_0,Ian Pendleton,Nearly_Reproducing_Runs	Ian Pendleton	Reproducing Runs 1-24 from 2018-09-10T22_54_34.498665+00_00_LBL (not exactly the same stock),
19,E,3,E3,95,4,,4,escalate_ReproducabilityTesting_0,Ian Pendleton,Nearly_Reproducing_Runs	Ian Pendleton	Reproducing Runs 1-24 from 2018-09-10T22_54_34.498665+00_00_LBL (not exactly the same stock),
23,F,3,F3,95,3,,4,escalate_ReproducabilityTesting_0,Ian Pendleton,Nearly_Reproducing_Runs	Ian Pendleton	Reproducing Runs 1-24 from 2018-09-10T22_54_34.498665+00_00_LBL (not exactly the same stock),
20,G,3,G3,95,2,,3,escalate_ReproducabilityTesting_0,Ian Pendleton,Nearly_Reproducing_Runs	Ian Pendleton	Reproducing Runs 1-24 from 2018-09-10T22_54_34.498665+00_00_LBL (not exactly the same stock),
24,H,3,H3,95,4,,2,escalate_ReproducabilityTesting_0,Ian Pendleton,Nearly_Reproducing_Runs	Ian Pendleton	Reproducing Runs 1-24 from 2018-09-10T22_54_34.498665+00_00_LBL (not exactly the same stock),
25,A,4,A4,95,4,130,4,escalation_BOGPall_1.0,Alex Cristofaro,GP_EI_0.2Jit_AllAmine	Acristo	Weekly amine predictions; Iteration 2,
29,B,4,B4,95,4,642,4,escalation_BOGPall_1.0,Alex Cristofaro,GP_EI_0.2Jit_AllAmine	Acristo	Weekly amine predictions; Iteration 2,
26,C,4,C4,95,3,255,4,escalation_BOGPall_1.0,Alex Cristofaro,GP_EI_0.2Jit_AllAmine	Acristo	Weekly amine predictions; Iteration 2,
30,D,4,D4,95,3,1390,4,escalation_BOGPall_1.0,Alex Cristofaro,GP_EI_0.2Jit_AllAmine	Acristo	Weekly amine predictions; Iteration 2,
27,E,4,E4,95,4,302,4,escalation_BOGPall_1.0,Alex Cristofaro,GP_EI_0.2Jit_AllAmine	Acristo	Weekly amine predictions; Iteration 2,
31,F,4,F4,95,2,1506,4,escalation_BOGPall_1.0,Alex Cristofaro,GP_EI_0.2Jit_AllAmine	Acristo	Weekly amine predictions; Iteration 2,
28,G,4,G4,95,3,386,4,escalation_BOGPall_1.0,Alex Cristofaro,GP_EI_0.2Jit_AllAmine	Acristo	Weekly amine predictions; Iteration 2,
32,H,4,H4,95,3,1711,4,escalation_BOGPall_1.0,Alex Cristofaro,GP_EI_0.2Jit_AllAmine	Acristo	Weekly amine predictions; Iteration 2,
33,A,5,A5,95,3,1966,4,escalation_BOGPall_1.0,Alex Cristofaro,GP_EI_0.2Jit_AllAmine	Acristo	Weekly amine predictions; Iteration 2,
37,B,5,B5,95,3,2450,4,escalation_BOGPall_1.0,Alex Cristofaro,GP_EI_0.2Jit_AllAmine	Acristo	Weekly amine predictions; Iteration 2,
34,C,5,C5,95,4,2222,4,escalation_BOGPall_1.0,Alex Cristofaro,GP_EI_0.2Jit_AllAmine	Acristo	Weekly amine predictions; Iteration 2,
38,D,5,D5,95,3,2498,4,escalation_BOGPall_1.0,Alex Cristofaro,GP_EI_0.2Jit_AllAmine	Acristo	Weekly amine predictions; Iteration 2,
35,E,5,E5,95,2,2287,4,escalation_BOGPall_1.0,Alex Cristofaro,GP_EI_0.2Jit_AllAmine	Acristo	Weekly amine predictions; Iteration 2,
39,F,5,F5,95,3,2668,4,escalation_BOGPall_1.0,Alex Cristofaro,GP_EI_0.2Jit_AllAmine	Acristo	Weekly amine predictions; Iteration 2,
36,G,5,G5,95,3,2386,4,escalation_BOGPall_1.0,Alex Cristofaro,GP_EI_0.2Jit_AllAmine	Acristo	Weekly amine predictions; Iteration 2,
40,H,5,H5,95,4,2722,4,escalation_BOGPall_1.0,Alex Cristofaro,GP_EI_0.2Jit_AllAmine	Acristo	Weekly amine predictions; Iteration 2,
41,A,6,A6,95,2,2799,4,escalation_BOGPall_1.0,Alex Cristofaro,GP_EI_0.2Jit_AllAmine	Acristo	Weekly amine predictions; Iteration 2,
45,B,6,B6,95,3,3370,4,escalation_BOGPall_1.0,Alex Cristofaro,GP_EI_0.2Jit_AllAmine	Acristo	Weekly amine predictions; Iteration 2,
42,C,6,C6,95,4,2926,4,escalation_BOGPall_1.0,Alex Cristofaro,GP_EI_0.2Jit_AllAmine	Acristo	Weekly amine predictions; Iteration 2,
46,D,6,D6,95,4,3462,4,escalation_BOGPall_1.0,Alex Cristofaro,GP_EI_0.2Jit_AllAmine	Acristo	Weekly amine predictions; Iteration 2,
43,E,6,E6,95,4,3010,4,escalation_BOGPall_1.0,Alex Cristofaro,GP_EI_0.2Jit_AllAmine	Acristo	Weekly amine predictions; Iteration 2,
47,F,6,F6,95,3,3503,4,escalation_BOGPall_1.0,Alex Cristofaro,GP_EI_0.2Jit_AllAmine	Acristo	Weekly amine predictions; Iteration 2,
44,G,6,G6,95,3,3310,4,escalation_BOGPall_1.0,Alex Cristofaro,GP_EI_0.2Jit_AllAmine	Acristo	Weekly amine predictions; Iteration 2,
48,H,6,H6,95,3,3632,4,escalation_BOGPall_1.0,Alex Cristofaro,GP_EI_0.2Jit_AllAmine	Acristo	Weekly amine predictions; Iteration 2,
49,A,7,A7,95,4,3650,4,escalation_BOGPall_1.0,Alex Cristofaro,GP_EI_0.2Jit_AllAmine	Acristo	Weekly amine predictions; Iteration 2,
53,B,7,B7,95,4,4160,4,escalation_BOGPall_1.0,Alex Cristofaro,GP_EI_0.2Jit_AllAmine	Acristo	Weekly amine predictions; Iteration 2,
50,C,7,C7,95,3,3694,4,escalation_BOGPall_1.0,Alex Cristofaro,GP_EI_0.2Jit_AllAmine	Acristo	Weekly amine predictions; Iteration 2,
54,D,7,D7,95,3,5230,4,escalation_BOGPall_1.0,Alex Cristofaro,GP_EI_0.2Jit_AllAmine	Acristo	Weekly amine predictions; Iteration 2,
51,E,7,E7,95,3,3742,4,escalation_BOGPall_1.0,Alex Cristofaro,GP_EI_0.2Jit_AllAmine	Acristo	Weekly amine predictions; Iteration 2,
55,F,7,F7,95,4,5262,4,escalation_BOGPall_1.0,Alex Cristofaro,GP_EI_0.2Jit_AllAmine	Acristo	Weekly amine predictions; Iteration 2,
52,G,7,G7,95,3,4074,4,escalation_BOGPall_1.0,Alex Cristofaro,GP_EI_0.2Jit_AllAmine	Acristo	Weekly amine predictions; Iteration 2,
56,H,7,H7,95,4,5398,4,escalation_BOGPall_1.0,Alex Cristofaro,GP_EI_0.2Jit_AllAmine	Acristo	Weekly amine predictions; Iteration 2,
57,A,8,A8,95,2,5754,4,escalation_BOGPall_1.0,Alex Cristofaro,GP_EI_0.2Jit_AllAmine	Acristo	Weekly amine predictions; Iteration 2,
61,B,8,B8,95,3,6958,4,escalation_BOGPall_1.0,Alex Cristofaro,GP_EI_0.2Jit_AllAmine	Acristo	Weekly amine predictions; Iteration 2,
58,C,8,C8,95,4,5968,4,escalation_BOGPall_1.0,Alex Cristofaro,GP_EI_0.2Jit_AllAmine	Acristo	Weekly amine predictions; Iteration 2,
62,D,8,D8,95,4,7150,4,escalation_BOGPall_1.0,Alex Cristofaro,GP_EI_0.2Jit_AllAmine	Acristo	Weekly amine predictions; Iteration 2,
59,E,8,E8,95,4,6487,4,escalation_BOGPall_1.0,Alex Cristofaro,GP_EI_0.2Jit_AllAmine	Acristo	Weekly amine predictions; Iteration 2,
63,F,8,F8,95,3,7430,4,escalation_BOGPall_1.0,Alex Cristofaro,GP_EI_0.2Jit_AllAmine	Acristo	Weekly amine predictions; Iteration 2,
60,G,8,G8,95,3,6496,4,escalation_BOGPall_1.0,Alex Cristofaro,GP_EI_0.2Jit_AllAmine	Acristo	Weekly amine predictions; Iteration 2,
64,H,8,H8,95,3,7534,4,escalation_BOGPall_1.0,Alex Cristofaro,GP_EI_0.2Jit_AllAmine	Acristo	Weekly amine predictions; Iteration 2,
65,A,9,A9,95,2,7914,4,escalation_BOGPall_1.0,Alex Cristofaro,GP_EI_0.2Jit_AllAmine	Acristo	Weekly amine predictions; Iteration 2,
69,B,9,B9,95,3,8750,4,escalation_BOGPall_1.0,Alex Cristofaro,GP_EI_0.2Jit_AllAmine	Acristo	Weekly amine predictions; Iteration 2,
66,C,9,C9,95,1,7930,4,escalation_BOGPall_1.0,Alex Cristofaro,GP_EI_0.2Jit_AllAmine	Acristo	Weekly amine predictions; Iteration 2,
70,D,9,D9,95,4,9010,4,escalation_BOGPall_1.0,Alex Cristofaro,GP_EI_0.2Jit_AllAmine	Acristo	Weekly amine predictions; Iteration 2,
67,E,9,E9,95,2,8342,4,escalation_BOGPall_1.0,Alex Cristofaro,GP_EI_0.2Jit_AllAmine	Acristo	Weekly amine predictions; Iteration 2,
71,F,9,F9,95,2,9070,4,escalation_BOGPall_1.0,Alex Cristofaro,GP_EI_0.2Jit_AllAmine	Acristo	Weekly amine predictions; Iteration 2,
68,G,9,G9,95,2,8624,4,escalation_BOGPall_1.0,Alex Cristofaro,GP_EI_0.2Jit_AllAmine	Acristo	Weekly amine predictions; Iteration 2,
72,H,9,H9,95,2,9194,4,escalation_BOGPall_1.0,Alex Cristofaro,GP_EI_0.2Jit_AllAmine	Acristo	Weekly amine predictions; Iteration 2,
73,A,10,A10,95,3,,,escalate_ExpertQuasiRandom_1.2,escalate_1.0,Original escalate quasi random deploy max vol 500 and 250,
77,B,10,B10,95,2,,,escalate_ExpertQuasiRandom_1.2,escalate_1.0,Original escalate quasi random deploy max vol 500 and 250,
74,C,10,C10,95,2,,,escalate_ExpertQuasiRandom_1.2,escalate_1.0,Original escalate quasi random deploy max vol 500 and 250,
