Robot Number,Vial Site (1),Vial Site (2),Concatenated Vial site,Bulk Actual Temp (C),Crystal Score,identifier,_out_predicted,modelname,participantname,notes,class_probability
1,A,1,A1,67,1,131,4,escalation_BOGPamine_1.0,Alex Cristofaro,GP_EI_LP_3param_Jit-0.4	Alex Cristofaro	Sampling method uses min dist to pre-generated randomly generated points inside the Test Set,
2,C,1,C1,67,4,577,4,escalation_BOGPamine_1.0,Alex Cristofaro,GP_EI_LP_3param_Jit-0.4	Alex Cristofaro	Sampling method uses min dist to pre-generated randomly generated points inside the Test Set,
3,E,1,E1,67,1,1078,4,escalation_BOGPamine_1.0,Alex Cristofaro,GP_EI_LP_3param_Jit-0.4	Alex Cristofaro	Sampling method uses min dist to pre-generated randomly generated points inside the Test Set,
4,G,1,G1,67,1,1192,4,escalation_BOGPamine_1.0,Alex Cristofaro,GP_EI_LP_3param_Jit-0.4	Alex Cristofaro	Sampling method uses min dist to pre-generated randomly generated points inside the Test Set,
5,B,1,B1,67,1,1243,4,escalation_BOGPamine_1.0,Alex Cristofaro,GP_EI_LP_3param_Jit-0.4	Alex Cristofaro	Sampling method uses min dist to pre-generated randomly generated points inside the Test Set,
6,D,1,D1,67,3,1808,4,escalation_BOGPamine_1.0,Alex Cristofaro,GP_EI_LP_3param_Jit-0.4	Alex Cristofaro	Sampling method uses min dist to pre-generated randomly generated points inside the Test Set,
7,F,1,F1,67,4,1908,4,escalation_BOGPamine_1.0,Alex Cristofaro,GP_EI_LP_3param_Jit-0.4	Alex Cristofaro	Sampling method uses min dist to pre-generated randomly generated points inside the Test Set,
8,H,1,H1,67,4,2001,4,escalation_BOGPamine_1.0,Alex Cristofaro,GP_EI_LP_3param_Jit-0.4	Alex Cristofaro	Sampling method uses min dist to pre-generated randomly generated points inside the Test Set,
9,A,2,A2,67,1,2377,4,escalation_BOGPamine_1.0,Alex Cristofaro,GP_EI_LP_3param_Jit-0.4	Alex Cristofaro	Sampling method uses min dist to pre-generated randomly generated points inside the Test Set,
10,C,2,C2,67,1,2763,4,escalation_BOGPamine_1.0,Alex Cristofaro,GP_EI_LP_3param_Jit-0.4	Alex Cristofaro	Sampling method uses min dist to pre-generated randomly generated points inside the Test Set,
11,E,2,E2,67,1,3078,4,escalation_BOGPamine_1.0,Alex Cristofaro,GP_EI_LP_3param_Jit-0.4	Alex Cristofaro	Sampling method uses min dist to pre-generated randomly generated points inside the Test Set,
12,G,2,G2,67,3,3424,4,escalation_BOGPamine_1.0,Alex Cristofaro,GP_EI_LP_3param_Jit-0.4	Alex Cristofaro	Sampling method uses min dist to pre-generated randomly generated points inside the Test Set,
13,B,2,B2,67,4,3616,4,escalation_BOGPamine_1.0,Alex Cristofaro,GP_EI_LP_3param_Jit-0.4	Alex Cristofaro	Sampling method uses min dist to pre-generated randomly generated points inside the Test Set,
14,D,2,D2,67,1,3702,4,escalation_BOGPamine_1.0,Alex Cristofaro,GP_EI_LP_3param_Jit-0.4	Alex Cristofaro	Sampling method uses min dist to pre-generated randomly generated points inside the Test Set,
15,F,2,F2,67,1,4071,4,escalation_BOGPamine_1.0,Alex Cristofaro,GP_EI_LP_3param_Jit-0.4	Alex Cristofaro	Sampling method uses min dist to pre-generated randomly generated points inside the Test Set,
16,H,2,H2,67,1,4187,4,escalation_BOGPamine_1.0,Alex Cristofaro,GP_EI_LP_3param_Jit-0.4	Alex Cristofaro	Sampling method uses min dist to pre-generated randomly generated points inside the Test Set,
