Robot Number,Vial Site (1),Vial Site (2),Concatenated Vial site,Bulk Actual Temp (C),Crystal Score,identifier,_out_predicted,modelname,participantname,notes,class_probability
17,A,3,A3,67,1,4307,4,escalation_BOGPamine_1.0,Alex Cristofaro,GP_EI_LP_3param_Jit-0.4	Alex Cristofaro	Sampling method uses min dist to pre-generated randomly generated points inside the Test Set,
18,C,3,C3,67,1,4329,4,escalation_BOGPamine_1.0,Alex Cristofaro,GP_EI_LP_3param_Jit-0.4	Alex Cristofaro	Sampling method uses min dist to pre-generated randomly generated points inside the Test Set,
19,E,3,E3,67,4,4492,4,escalation_BOGPamine_1.0,Alex Cristofaro,GP_EI_LP_3param_Jit-0.4	Alex Cristofaro	Sampling method uses min dist to pre-generated randomly generated points inside the Test Set,
20,G,3,G3,67,3,4496,4,escalation_BOGPamine_1.0,Alex Cristofaro,GP_EI_LP_3param_Jit-0.4	Alex Cristofaro	Sampling method uses min dist to pre-generated randomly generated points inside the Test Set,
21,B,3,B3,67,1,4572,4,escalation_BOGPamine_1.0,Alex Cristofaro,GP_EI_LP_3param_Jit-0.4	Alex Cristofaro	Sampling method uses min dist to pre-generated randomly generated points inside the Test Set,
22,D,3,D3,67,1,4585,4,escalation_BOGPamine_1.0,Alex Cristofaro,GP_EI_LP_3param_Jit-0.4	Alex Cristofaro	Sampling method uses min dist to pre-generated randomly generated points inside the Test Set,
23,F,3,F3,67,1,4664,4,escalation_BOGPamine_1.0,Alex Cristofaro,GP_EI_LP_3param_Jit-0.4	Alex Cristofaro	Sampling method uses min dist to pre-generated randomly generated points inside the Test Set,
24,H,3,H3,67,1,4846,4,escalation_BOGPamine_1.0,Alex Cristofaro,GP_EI_LP_3param_Jit-0.4	Alex Cristofaro	Sampling method uses min dist to pre-generated randomly generated points inside the Test Set,
25,A,4,A4,67,4,4860,4,escalation_BOGPamine_1.0,Alex Cristofaro,GP_EI_LP_3param_Jit-0.4	Alex Cristofaro	Sampling method uses min dist to pre-generated randomly generated points inside the Test Set,
26,C,4,C4,67,1,5586,4,escalation_BOGPamine_1.0,Alex Cristofaro,GP_EI_LP_3param_Jit-0.4	Alex Cristofaro	Sampling method uses min dist to pre-generated randomly generated points inside the Test Set,
27,E,4,E4,67,4,5649,4,escalation_BOGPamine_1.0,Alex Cristofaro,GP_EI_LP_3param_Jit-0.4	Alex Cristofaro	Sampling method uses min dist to pre-generated randomly generated points inside the Test Set,
28,G,4,G4,67,4,5652,4,escalation_BOGPamine_1.0,Alex Cristofaro,GP_EI_LP_3param_Jit-0.4	Alex Cristofaro	Sampling method uses min dist to pre-generated randomly generated points inside the Test Set,
29,B,4,B4,67,4,6180,4,escalation_BOGPamine_1.0,Alex Cristofaro,GP_EI_LP_3param_Jit-0.4	Alex Cristofaro	Sampling method uses min dist to pre-generated randomly generated points inside the Test Set,
30,D,4,D4,67,1,6407,4,escalation_BOGPamine_1.0,Alex Cristofaro,GP_EI_LP_3param_Jit-0.4	Alex Cristofaro	Sampling method uses min dist to pre-generated randomly generated points inside the Test Set,
31,F,4,F4,67,3,7109,4,escalation_BOGPamine_1.0,Alex Cristofaro,GP_EI_LP_3param_Jit-0.4	Alex Cristofaro	Sampling method uses min dist to pre-generated randomly generated points inside the Test Set,
32,H,4,H4,67,1,7352,4,escalation_BOGPamine_1.0,Alex Cristofaro,GP_EI_LP_3param_Jit-0.4	Alex Cristofaro	Sampling method uses min dist to pre-generated randomly generated points inside the Test Set,
33,A,5,A5,67,1,7475,4,escalation_BOGPamine_1.0,Alex Cristofaro,GP_EI_LP_3param_Jit-0.4	Alex Cristofaro	Sampling method uses min dist to pre-generated randomly generated points inside the Test Set,
34,C,5,C5,67,1,7571,4,escalation_BOGPamine_1.0,Alex Cristofaro,GP_EI_LP_3param_Jit-0.4	Alex Cristofaro	Sampling method uses min dist to pre-generated randomly generated points inside the Test Set,
35,E,5,E5,67,1,7646,4,escalation_BOGPamine_1.0,Alex Cristofaro,GP_EI_LP_3param_Jit-0.4	Alex Cristofaro	Sampling method uses min dist to pre-generated randomly generated points inside the Test Set,
36,G,5,G5,67,1,7976,4,escalation_BOGPamine_1.0,Alex Cristofaro,GP_EI_LP_3param_Jit-0.4	Alex Cristofaro	Sampling method uses min dist to pre-generated randomly generated points inside the Test Set,
37,B,5,B5,67,1,,4,escalate_ReproducabilityTesting_0,Ian Pendleton,Reproducing_Runs-Temp	Ian Pendleton	Reproducing Runs 1-24 from 2018-08-21T00_41_41.669916+00_00_LBL,
38,D,5,D5,67,1,,3,escalate_ReproducabilityTesting_0,Ian Pendleton,Reproducing_Runs-Temp	Ian Pendleton	Reproducing Runs 1-24 from 2018-08-21T00_41_41.669916+00_00_LBL,
39,F,5,F5,67,1,,4,escalate_ReproducabilityTesting_0,Ian Pendleton,Reproducing_Runs-Temp	Ian Pendleton	Reproducing Runs 1-24 from 2018-08-21T00_41_41.669916+00_00_LBL,
40,H,5,H5,67,1,,3,escalate_ReproducabilityTesting_0,Ian Pendleton,Reproducing_Runs-Temp	Ian Pendleton	Reproducing Runs 1-24 from 2018-08-21T00_41_41.669916+00_00_LBL,
41,A,6,A6,67,4,,4,escalate_ReproducabilityTesting_0,Ian Pendleton,Reproducing_Runs-Temp	Ian Pendleton	Reproducing Runs 1-24 from 2018-08-21T00_41_41.669916+00_00_LBL,
42,C,6,C6,67,1,,4,escalate_ReproducabilityTesting_0,Ian Pendleton,Reproducing_Runs-Temp	Ian Pendleton	Reproducing Runs 1-24 from 2018-08-21T00_41_41.669916+00_00_LBL,
43,E,6,E6,67,1,,4,escalate_ReproducabilityTesting_0,Ian Pendleton,Reproducing_Runs-Temp	Ian Pendleton	Reproducing Runs 1-24 from 2018-08-21T00_41_41.669916+00_00_LBL,
44,G,6,G6,67,1,,4,escalate_ReproducabilityTesting_0,Ian Pendleton,Reproducing_Runs-Temp	Ian Pendleton	Reproducing Runs 1-24 from 2018-08-21T00_41_41.669916+00_00_LBL,
45,B,6,B6,67,4,,4,escalate_ReproducabilityTesting_0,Ian Pendleton,Reproducing_Runs-Temp	Ian Pendleton	Reproducing Runs 1-24 from 2018-08-21T00_41_41.669916+00_00_LBL,
46,D,6,D6,67,1,,2,escalate_ReproducabilityTesting_0,Ian Pendleton,Reproducing_Runs-Temp	Ian Pendleton	Reproducing Runs 1-24 from 2018-08-21T00_41_41.669916+00_00_LBL,
47,F,6,F6,67,1,,3,escalate_ReproducabilityTesting_0,Ian Pendleton,Reproducing_Runs-Temp	Ian Pendleton	Reproducing Runs 1-24 from 2018-08-21T00_41_41.669916+00_00_LBL,
48,H,6,H6,67,1,,2,escalate_ReproducabilityTesting_0,Ian Pendleton,Reproducing_Runs-Temp	Ian Pendleton	Reproducing Runs 1-24 from 2018-08-21T00_41_41.669916+00_00_LBL,
