Robot Number,Vial Site (1),Vial Site (2),Concatenated Vial site,Bulk Actual Temp (C),Crystal Score,,_out_predicted,modelname,participantname,notes,class_probability
25,A,4,A4,110,1,,4,escalate_ReproducabilityTesting_0,Ian Pendleton,Reproducing_Runs	Ian Pendleton	Reproducing Runs - 1_24 from - 2018-08-21T00_41_41.669916+00_00_LBL,
29,B,4,B4,110,4,,4,escalate_ReproducabilityTesting_0,Ian Pendleton,Reproducing_Runs	Ian Pendleton	Reproducing Runs - 1_24 from - 2018-08-21T00_41_41.669916+00_00_LBL,
26,C,4,C4,110,4,,3,escalate_ReproducabilityTesting_0,Ian Pendleton,Reproducing_Runs	Ian Pendleton	Reproducing Runs - 1_24 from - 2018-08-21T00_41_41.669916+00_00_LBL,
30,D,4,D4,110,4,,4,escalate_ReproducabilityTesting_0,Ian Pendleton,Reproducing_Runs	Ian Pendleton	Reproducing Runs - 1_24 from - 2018-08-21T00_41_41.669916+00_00_LBL,
27,E,4,E4,110,3,,4,escalate_ReproducabilityTesting_0,Ian Pendleton,Reproducing_Runs	Ian Pendleton	Reproducing Runs - 1_24 from - 2018-08-21T00_41_41.669916+00_00_LBL,
31,F,4,F4,110,3,,4,escalate_ReproducabilityTesting_0,Ian Pendleton,Reproducing_Runs	Ian Pendleton	Reproducing Runs - 1_24 from - 2018-08-21T00_41_41.669916+00_00_LBL,
28,G,4,G4,110,4,,3,escalate_ReproducabilityTesting_0,Ian Pendleton,Reproducing_Runs	Ian Pendleton	Reproducing Runs - 1_24 from - 2018-08-21T00_41_41.669916+00_00_LBL,
32,H,4,H4,110,4,,4,escalate_ReproducabilityTesting_0,Ian Pendleton,Reproducing_Runs	Ian Pendleton	Reproducing Runs - 1_24 from - 2018-08-21T00_41_41.669916+00_00_LBL,
33,A,5,A5,110,4,,4,escalate_ReproducabilityTesting_0,Ian Pendleton,Reproducing_Runs	Ian Pendleton	Reproducing Runs - 1_24 from - 2018-08-21T00_41_41.669916+00_00_LBL,
37,B,5,B5,110,4,,4,escalate_ReproducabilityTesting_0,Ian Pendleton,Reproducing_Runs	Ian Pendleton	Reproducing Runs - 1_24 from - 2018-08-21T00_41_41.669916+00_00_LBL,
