Robot Number,Vial Site (1),Vial Site (2),Concatenated Vial site,Bulk Actual Temp (C),Crystal Score,identifier,_out_predicted,modelname,participantname,notes,class_probability
1,A,1,A1,95,1,178660,null,escalation_BOGPamine_1.5,Alex Cristofaro,AcNH3I 95C;0.2J;_rxn_M_inorganic;_rxn_M_organic;_rxn_M_acid,
2,C,1,C1,95,4,415592,null,escalation_BOGPamine_1.5,Alex Cristofaro,AcNH3I 95C;0.2J;_rxn_M_inorganic;_rxn_M_organic;_rxn_M_acid,
3,E,1,E1,95,2,210613,null,escalation_BOGPamine_1.5,Alex Cristofaro,AcNH3I 95C;0.2J;_rxn_M_inorganic;_rxn_M_organic;_rxn_M_acid,
4,G,1,G1,95,3,339850,null,escalation_BOGPamine_1.5,Alex Cristofaro,AcNH3I 95C;0.2J;_rxn_M_inorganic;_rxn_M_organic;_rxn_M_acid,
5,B,1,B1,95,1,239736,null,escalation_BOGPamine_1.5,Alex Cristofaro,AcNH3I 95C;0.2J;_rxn_M_inorganic;_rxn_M_organic;_rxn_M_acid,
6,D,1,D1,95,4,227459,null,escalation_BOGPamine_1.5,Alex Cristofaro,AcNH3I 95C;0.2J;_rxn_M_inorganic;_rxn_M_organic;_rxn_M_acid,
7,F,1,F1,95,1,161138,null,escalation_BOGPamine_1.5,Alex Cristofaro,AcNH3I 95C;0.2J;_rxn_M_inorganic;_rxn_M_organic;_rxn_M_acid,
8,H,1,H1,95,1,48805,null,escalation_BOGPamine_1.5,Alex Cristofaro,AcNH3I 95C;0.2J;_rxn_M_inorganic;_rxn_M_organic;_rxn_M_acid,
9,A,2,A2,95,4,406470,null,escalation_BOGPamine_1.5,Alex Cristofaro,AcNH3I 95C;0.2J;_rxn_M_inorganic;_rxn_M_organic;_rxn_M_acid,
10,C,2,C2,95,1,406136,null,escalation_BOGPamine_1.5,Alex Cristofaro,AcNH3I 95C;0.2J;_rxn_M_inorganic;_rxn_M_organic;_rxn_M_acid,
11,E,2,E2,95,1,61226,null,escalation_BOGPamine_1.5,Alex Cristofaro,AcNH3I 95C;0.2J;_rxn_M_inorganic;_rxn_M_organic;_rxn_M_acid,
12,G,2,G2,95,1,85689,null,escalation_BOGPamine_1.5,Alex Cristofaro,AcNH3I 95C;0.2J;_rxn_M_inorganic;_rxn_M_organic;_rxn_M_acid,
13,B,2,B2,95,1,418448,null,escalation_BOGPamine_1.5,Alex Cristofaro,AcNH3I 95C;0.2J;_rxn_M_inorganic;_rxn_M_organic;_rxn_M_acid,
14,D,2,D2,95,1,299783,null,escalation_BOGPamine_1.5,Alex Cristofaro,AcNH3I 95C;0.2J;_rxn_M_inorganic;_rxn_M_organic;_rxn_M_acid,
15,F,2,F2,95,1,334507,null,escalation_BOGPamine_1.5,Alex Cristofaro,AcNH3I 95C;0.2J;_rxn_M_inorganic;_rxn_M_organic;_rxn_M_acid,
16,H,2,H2,95,1,71254,null,escalation_BOGPamine_1.5,Alex Cristofaro,AcNH3I 95C;0.2J;_rxn_M_inorganic;_rxn_M_organic;_rxn_M_acid,
17,A,3,A3,95,4,326439,null,escalation_BOGPamine_1.5,Alex Cristofaro,AcNH3I 95C;0.2J;_rxn_M_inorganic;_rxn_M_organic;_rxn_M_acid,
18,C,3,C3,95,1,48091,null,escalation_BOGPamine_1.5,Alex Cristofaro,AcNH3I 95C;0.2J;_rxn_M_inorganic;_rxn_M_organic;_rxn_M_acid,
19,E,3,E3,95,1,135843,null,escalation_BOGPamine_1.5,Alex Cristofaro,AcNH3I 95C;0.2J;_rxn_M_inorganic;_rxn_M_organic;_rxn_M_acid,
20,G,3,G3,95,2,427176,null,escalation_BOGPamine_1.5,Alex Cristofaro,AcNH3I 95C;0.2J;_rxn_M_inorganic;_rxn_M_organic;_rxn_M_acid,
21,B,3,B3,95,1,306427,null,escalation_BOGPamine_1.5,Alex Cristofaro,AcNH3I 95C;0.2J;_rxn_M_inorganic;_rxn_M_organic;_rxn_M_acid,
22,D,3,D3,95,1,128923,null,escalation_BOGPamine_1.5,Alex Cristofaro,AcNH3I 95C;0.2J;_rxn_M_inorganic;_rxn_M_organic;_rxn_M_acid,
23,F,3,F3,95,1,153041,null,escalation_BOGPamine_1.5,Alex Cristofaro,AcNH3I 95C;0.2J;_rxn_M_inorganic;_rxn_M_organic;_rxn_M_acid,
24,H,3,H3,95,1,202907,null,escalation_BOGPamine_1.5,Alex Cristofaro,AcNH3I 95C;0.2J;_rxn_M_inorganic;_rxn_M_organic;_rxn_M_acid,
25,A,4,A4,95,1,43528,null,escalation_BOGPamine_1.5,Alex Cristofaro,AcNH3I 95C;0.2J;_rxn_M_inorganic;_rxn_M_organic;_rxn_M_acid,
26,C,4,C4,95,4,184993,null,escalation_BOGPamine_1.5,Alex Cristofaro,AcNH3I 95C;0.2J;_rxn_M_inorganic;_rxn_M_organic;_rxn_M_acid,
27,E,4,E4,95,1,26338,null,escalation_BOGPamine_1.5,Alex Cristofaro,AcNH3I 95C;0.2J;_rxn_M_inorganic;_rxn_M_organic;_rxn_M_acid,
28,G,4,G4,95,1,341201,null,escalation_BOGPamine_1.5,Alex Cristofaro,AcNH3I 95C;0.2J;_rxn_M_inorganic;_rxn_M_organic;_rxn_M_acid,
29,B,4,B4,95,3,442412,null,escalation_BOGPamine_1.5,Alex Cristofaro,AcNH3I 95C;0.2J;_rxn_M_inorganic;_rxn_M_organic;_rxn_M_acid,
30,D,4,D4,95,1,285368,null,escalation_BOGPamine_1.5,Alex Cristofaro,AcNH3I 95C;0.2J;_rxn_M_inorganic;_rxn_M_organic;_rxn_M_acid,
31,F,4,F4,95,3,186054,4,testharness_gradientboostedtree_1.0,Scott Novotney,Scott Novotney	gradient boosted tree with n_trees=10 max_depth=5;,
32,H,4,H4,95,4,186079,4,testharness_gradientboostedtree_1.0,Scott Novotney,Scott Novotney	gradient boosted tree with n_trees=10 max_depth=5;,
33,A,5,A5,95,4,186103,4,testharness_gradientboostedtree_1.0,Scott Novotney,Scott Novotney	gradient boosted tree with n_trees=10 max_depth=5;,
34,C,5,C5,95,2,186126,4,testharness_gradientboostedtree_1.0,Scott Novotney,Scott Novotney	gradient boosted tree with n_trees=10 max_depth=5;,
35,E,5,E5,95,2,186148,4,testharness_gradientboostedtree_1.0,Scott Novotney,Scott Novotney	gradient boosted tree with n_trees=10 max_depth=5;,
36,G,5,G5,95,4,186169,4,testharness_gradientboostedtree_1.0,Scott Novotney,Scott Novotney	gradient boosted tree with n_trees=10 max_depth=5;,
37,B,5,B5,95,4,462982,4,testharness_RandomForestClassifier_1,Hamed Eramian,Random Forest Classifier (4 Classes)	Hamed	n_estimators=361 max_features='auto' criterion='entropy' min_samples_leaf=13 n_jobs=-1 class_weight='balanced',
38,D,5,D5,95,4,463007,4,testharness_RandomForestClassifier_1,Hamed Eramian,Random Forest Classifier (4 Classes)	Hamed	n_estimators=361 max_features='auto' criterion='entropy' min_samples_leaf=13 n_jobs=-1 class_weight='balanced',
39,F,5,F5,95,4,463031,4,testharness_RandomForestClassifier_1,Hamed Eramian,Random Forest Classifier (4 Classes)	Hamed	n_estimators=361 max_features='auto' criterion='entropy' min_samples_leaf=13 n_jobs=-1 class_weight='balanced',
40,H,5,H5,95,4,463054,4,testharness_RandomForestClassifier_1,Hamed Eramian,Random Forest Classifier (4 Classes)	Hamed	n_estimators=361 max_features='auto' criterion='entropy' min_samples_leaf=13 n_jobs=-1 class_weight='balanced',
41,A,6,A6,95,4,463076,4,testharness_RandomForestClassifier_1,Hamed Eramian,Random Forest Classifier (4 Classes)	Hamed	n_estimators=361 max_features='auto' criterion='entropy' min_samples_leaf=13 n_jobs=-1 class_weight='balanced',
42,C,6,C6,95,4,463097,4,testharness_RandomForestClassifier_1,Hamed Eramian,Random Forest Classifier (4 Classes)	Hamed	n_estimators=361 max_features='auto' criterion='entropy' min_samples_leaf=13 n_jobs=-1 class_weight='balanced',
43,E,6,E6,95,1,6683,4,testharness_SVMRadialBasis_1.0,Zhi Li,svm with radial basis function,
44,G,6,G6,95,1,6708,4,testharness_SVMRadialBasis_1.0,Zhi Li,svm with radial basis function,
45,B,6,B6,95,1,6732,4,testharness_SVMRadialBasis_1.0,Zhi Li,svm with radial basis function,
46,D,6,D6,95,1,6837,4,testharness_SVMRadialBasis_1.0,Zhi Li,svm with radial basis function,
47,F,6,F6,95,1,6917,4,testharness_SVMRadialBasis_1.0,Zhi Li,svm with radial basis function,
48,H,6,H6,95,1,6930,4,testharness_SVMRadialBasis_1.0,Zhi Li,svm with radial basis function,
49,A,7,A7,95,2,0,1,testharness_SVMRadialBasis_1.0,Zhi Li,svm with radial basis function,
50,C,7,C7,95,3,1,1,testharness_SVMRadialBasis_1.0,Zhi Li,svm with radial basis function,
51,E,7,E7,95,2,2,1,testharness_SVMRadialBasis_1.0,Zhi Li,svm with radial basis function,
52,G,7,G7,95,2,3,1,testharness_SVMRadialBasis_1.0,Zhi Li,svm with radial basis function,
53,B,7,B7,95,2,4,1,testharness_SVMRadialBasis_1.0,Zhi Li,svm with radial basis function,
54,D,7,D7,95,2,5,1,testharness_SVMRadialBasis_1.0,Zhi Li,svm with radial basis function,
55,F,7,F7,95,2,6,1,testharness_SVMRadialBasis_1.0,Zhi Li,svm with radial basis function,
56,H,7,H7,95,2,7,1,testharness_SVMRadialBasis_1.0,Zhi Li,svm with radial basis function,
57,A,8,A8,95,2,8,1,testharness_SVMRadialBasis_1.0,Zhi Li,svm with radial basis function,
58,C,8,C8,95,2,9,1,testharness_SVMRadialBasis_1.0,Zhi Li,svm with radial basis function,
59,E,8,E8,95,2,10,1,testharness_SVMRadialBasis_1.0,Zhi Li,svm with radial basis function,
60,G,8,G8,95,2,11,1,testharness_SVMRadialBasis_1.0,Zhi Li,svm with radial basis function,
61,B,8,B8,95,2,507,1,testharness_LogisticRegression_1.0,Hamed Eramian,Logistic: class_weight='balanced'	Hamed	0.813665,
62,D,8,D8,95,2,508,1,testharness_LogisticRegression_1.0,Hamed Eramian,Logistic: class_weight='balanced'	Hamed	0.813665,
63,F,8,F8,95,2,509,1,testharness_LogisticRegression_1.0,Hamed Eramian,Logistic: class_weight='balanced'	Hamed	0.813665,
64,H,8,H8,95,2,510,1,testharness_LogisticRegression_1.0,Hamed Eramian,Logistic: class_weight='balanced'	Hamed	0.813665,
65,A,9,A9,95,2,1037,1,testharness_LogisticRegression_1.0,Hamed Eramian,Logistic: class_weight='balanced'	Hamed	0.813665,
66,C,9,C9,95,2,511,1,testharness_LogisticRegression_1.0,Hamed Eramian,Logistic: class_weight='balanced'	Hamed	0.813665,
67,E,9,E9,95,2,12,1,testharness_LogisticRegression_1.0,Hamed Eramian,Logistic: class_weight='balanced'	Hamed	0.813665,
68,G,9,G9,95,2,13,1,testharness_LogisticRegression_1.0,Hamed Eramian,Logistic: class_weight='balanced'	Hamed	0.813665,
69,B,9,B9,95,2,14,1,testharness_LogisticRegression_1.0,Hamed Eramian,Logistic: class_weight='balanced'	Hamed	0.813665,
70,D,9,D9,95,2,512,1,testharness_LogisticRegression_1.0,Hamed Eramian,Logistic: class_weight='balanced'	Hamed	0.813665,
71,F,9,F9,95,2,1038,1,testharness_LogisticRegression_1.0,Hamed Eramian,Logistic: class_weight='balanced'	Hamed	0.813665,
72,H,9,H9,95,2,15,1,testharness_LogisticRegression_1.0,Hamed Eramian,Logistic: class_weight='balanced'	Hamed	0.813665,
