Robot Number,Vial Site (1),Vial Site (2),Concatenated Vial site,Bulk Actual Temp (C),Crystal Score,identifier,_out_predicted,modelname,participantname,notes,class_probability
1,A,1,A1,67,4,,4,escalation_BOGPamine_1.1,Alex Cristofaro,BO-GP	AC-Foundry	Ethyl_only;_rxn_M_organic;_rxn_M_inorganic;_rxn_M_acid,
2,C,1,C1,67,1,,4,escalation_BOGPamine_1.1,Alex Cristofaro,BO-GP	AC-Foundry	Ethyl_only;_rxn_M_organic;_rxn_M_inorganic;_rxn_M_acid,
3,E,1,E1,67,3,,4,escalation_BOGPamine_1.1,Alex Cristofaro,BO-GP	AC-Foundry	Ethyl_only;_rxn_M_organic;_rxn_M_inorganic;_rxn_M_acid,
4,G,1,G1,67,1,,4,escalation_BOGPamine_1.1,Alex Cristofaro,BO-GP	AC-Foundry	Ethyl_only;_rxn_M_organic;_rxn_M_inorganic;_rxn_M_acid,
5,B,1,B1,67,1,,4,escalation_BOGPamine_1.1,Alex Cristofaro,BO-GP	AC-Foundry	Ethyl_only;_rxn_M_organic;_rxn_M_inorganic;_rxn_M_acid,
6,D,1,D1,67,1,,4,escalation_BOGPamine_1.1,Alex Cristofaro,BO-GP	AC-Foundry	Ethyl_only;_rxn_M_organic;_rxn_M_inorganic;_rxn_M_acid,
7,F,1,F1,67,1,,4,escalation_BOGPamine_1.1,Alex Cristofaro,BO-GP	AC-Foundry	Ethyl_only;_rxn_M_organic;_rxn_M_inorganic;_rxn_M_acid,
8,H,1,H1,67,3,,4,escalation_BOGPamine_1.1,Alex Cristofaro,BO-GP	AC-Foundry	Ethyl_only;_rxn_M_organic;_rxn_M_inorganic;_rxn_M_acid,
9,A,2,A2,67,1,,4,escalation_BOGPamine_1.1,Alex Cristofaro,BO-GP	AC-Foundry	Ethyl_only;_rxn_M_organic;_rxn_M_inorganic;_rxn_M_acid,
10,C,2,C2,67,1,,4,escalation_BOGPamine_1.1,Alex Cristofaro,BO-GP	AC-Foundry	Ethyl_only;_rxn_M_organic;_rxn_M_inorganic;_rxn_M_acid,
11,E,2,E2,67,1,,4,escalation_BOGPamine_1.1,Alex Cristofaro,BO-GP	AC-Foundry	Ethyl_only;_rxn_M_organic;_rxn_M_inorganic;_rxn_M_acid,
12,G,2,G2,67,1,,4,escalation_BOGPamine_1.1,Alex Cristofaro,BO-GP	AC-Foundry	Ethyl_only;_rxn_M_organic;_rxn_M_inorganic;_rxn_M_acid,
13,B,2,B2,67,3,,4,escalation_BOGPamine_1.1,Alex Cristofaro,BO-GP	AC-Foundry	Ethyl_only;_rxn_M_organic;_rxn_M_inorganic;_rxn_M_acid,
14,D,2,D2,67,1,,4,escalation_BOGPamine_1.1,Alex Cristofaro,BO-GP	AC-Foundry	Ethyl_only;_rxn_M_organic;_rxn_M_inorganic;_rxn_M_acid,
15,F,2,F2,67,1,,4,escalation_BOGPamine_1.1,Alex Cristofaro,BO-GP	AC-Foundry	Ethyl_only;_rxn_M_organic;_rxn_M_inorganic;_rxn_M_acid,
16,H,2,H2,67,4,,4,escalation_BOGPamine_1.1,Alex Cristofaro,BO-GP	AC-Foundry	Ethyl_only;_rxn_M_organic;_rxn_M_inorganic;_rxn_M_acid,
17,A,3,A3,67,3,,4,escalation_BOGPamine_1.1,Alex Cristofaro,BO-GP	AC-Foundry	Ethyl_only;_rxn_M_organic;_rxn_M_inorganic;_rxn_M_acid,
18,C,3,C3,67,1,,4,escalation_BOGPamine_1.1,Alex Cristofaro,BO-GP	AC-Foundry	Ethyl_only;_rxn_M_organic;_rxn_M_inorganic;_rxn_M_acid,
