Robot Number,Vial Site (1),Vial Site (2),Concatenated Vial site,Bulk Actual Temp (C),Crystal Score,identifier,_out_predicted,modelname,participantname,notes,class_probability
1,A,1,A1,95,4,7200,0.78989604,escalation_BOGPall_1.0,Alex Cristofaro,gaussian process classifier	alex cristofaro	all_amides;kfold=5;mean_auc=0.93;auc_std=0.01;kernel=matern32;eucdist_threshold=0.05;normalization=sklearn.preprocessing.scaled	,
2,C,1,C1,95,4,2208,0.78910104,escalation_BOGPall_1.0,Alex Cristofaro,gaussian process classifier	alex cristofaro	all_amides;kfold=5;mean_auc=0.93;auc_std=0.01;kernel=matern32;eucdist_threshold=0.05;normalization=sklearn.preprocessing.scaled	,
3,E,1,E1,95,4,320,0.78323642,escalation_BOGPall_1.0,Alex Cristofaro,gaussian process classifier	alex cristofaro	all_amides;kfold=5;mean_auc=0.93;auc_std=0.01;kernel=matern32;eucdist_threshold=0.05;normalization=sklearn.preprocessing.scaled	,
4,G,1,G1,95,4,2400,0.78193665,escalation_BOGPall_1.0,Alex Cristofaro,gaussian process classifier	alex cristofaro	all_amides;kfold=5;mean_auc=0.93;auc_std=0.01;kernel=matern32;eucdist_threshold=0.05;normalization=sklearn.preprocessing.scaled	,
5,B,1,B1,95,3,8128,0.78097763,escalation_BOGPall_1.0,Alex Cristofaro,gaussian process classifier	alex cristofaro	all_amides;kfold=5;mean_auc=0.93;auc_std=0.01;kernel=matern32;eucdist_threshold=0.05;normalization=sklearn.preprocessing.scaled	,
6,D,1,D1,95,3,2112,0.7805755,escalation_BOGPall_1.0,Alex Cristofaro,gaussian process classifier	alex cristofaro	all_amides;kfold=5;mean_auc=0.93;auc_std=0.01;kernel=matern32;eucdist_threshold=0.05;normalization=sklearn.preprocessing.scaled	,
7,F,1,F1,95,4,2080,0.77992954,escalation_BOGPall_1.0,Alex Cristofaro,gaussian process classifier	alex cristofaro	all_amides;kfold=5;mean_auc=0.93;auc_std=0.01;kernel=matern32;eucdist_threshold=0.05;normalization=sklearn.preprocessing.scaled	,
8,H,1,H1,95,4,4704,0.77875412,escalation_BOGPall_1.0,Alex Cristofaro,gaussian process classifier	alex cristofaro	all_amides;kfold=5;mean_auc=0.93;auc_std=0.01;kernel=matern32;eucdist_threshold=0.05;normalization=sklearn.preprocessing.scaled	,
9,A,2,A2,95,4,8544,0.77872332,escalation_BOGPall_1.0,Alex Cristofaro,gaussian process classifier	alex cristofaro	all_amides;kfold=5;mean_auc=0.93;auc_std=0.01;kernel=matern32;eucdist_threshold=0.05;normalization=sklearn.preprocessing.scaled	,
10,C,2,C2,95,3,6080,0.77812841,escalation_BOGPall_1.0,Alex Cristofaro,gaussian process classifier	alex cristofaro	all_amides;kfold=5;mean_auc=0.93;auc_std=0.01;kernel=matern32;eucdist_threshold=0.05;normalization=sklearn.preprocessing.scaled	,
11,E,2,E2,95,4,9280,0.77734282,escalation_BOGPall_1.0,Alex Cristofaro,gaussian process classifier	alex cristofaro	all_amides;kfold=5;mean_auc=0.93;auc_std=0.01;kernel=matern32;eucdist_threshold=0.05;normalization=sklearn.preprocessing.scaled	,
12,G,2,G2,95,4,480,0.77649168,escalation_BOGPall_1.0,Alex Cristofaro,gaussian process classifier	alex cristofaro	all_amides;kfold=5;mean_auc=0.93;auc_std=0.01;kernel=matern32;eucdist_threshold=0.05;normalization=sklearn.preprocessing.scaled	,
13,B,2,B2,95,2,9988,0.45932745,escalation_BOGPamine_1.0,Alex Cristofaro,gaussian process classifier	alex cristofaro	XFYICZOIWSBQSK-UHFFFAOYSA-N;kfold=5;mean_auc=0.96;auc_std=0.01;kernel=matern32;eucdist_threshold=0.05;normalization=sklearn.preprocessing.scaled	,
14,D,2,D2,95,2,3460,0.45915457,escalation_BOGPamine_1.0,Alex Cristofaro,gaussian process classifier	alex cristofaro	XFYICZOIWSBQSK-UHFFFAOYSA-N;kfold=5;mean_auc=0.96;auc_std=0.01;kernel=matern32;eucdist_threshold=0.05;normalization=sklearn.preprocessing.scaled	,
15,F,2,F2,95,2,7812,0.45909757,escalation_BOGPamine_1.0,Alex Cristofaro,gaussian process classifier	alex cristofaro	XFYICZOIWSBQSK-UHFFFAOYSA-N;kfold=5;mean_auc=0.96;auc_std=0.01;kernel=matern32;eucdist_threshold=0.05;normalization=sklearn.preprocessing.scaled	,
16,H,2,H2,95,2,5636,0.45909583,escalation_BOGPamine_1.0,Alex Cristofaro,gaussian process classifier	alex cristofaro	XFYICZOIWSBQSK-UHFFFAOYSA-N;kfold=5;mean_auc=0.96;auc_std=0.01;kernel=matern32;eucdist_threshold=0.05;normalization=sklearn.preprocessing.scaled	,
17,A,3,A3,95,2,4420,0.45903767,escalation_BOGPamine_1.0,Alex Cristofaro,gaussian process classifier	alex cristofaro	XFYICZOIWSBQSK-UHFFFAOYSA-N;kfold=5;mean_auc=0.96;auc_std=0.01;kernel=matern32;eucdist_threshold=0.05;normalization=sklearn.preprocessing.scaled	,
18,C,3,C3,95,2,1284,0.45899226,escalation_BOGPamine_1.0,Alex Cristofaro,gaussian process classifier	alex cristofaro	XFYICZOIWSBQSK-UHFFFAOYSA-N;kfold=5;mean_auc=0.96;auc_std=0.01;kernel=matern32;eucdist_threshold=0.05;normalization=sklearn.preprocessing.scaled	,
19,E,3,E3,95,2,2244,0.45881438,escalation_BOGPamine_1.0,Alex Cristofaro,gaussian process classifier	alex cristofaro	XFYICZOIWSBQSK-UHFFFAOYSA-N;kfold=5;mean_auc=0.96;auc_std=0.01;kernel=matern32;eucdist_threshold=0.05;normalization=sklearn.preprocessing.scaled	,
