Robot Number,Vial Site (1),Vial Site (2),Concatenated Vial site,Bulk Actual Temp (C),Crystal Score,identifier,_out_predicted,modelname,participantname,notes,class_probability
1,A,1,A1,67,1,427874,4,escalation_BOGPamine_1.4,Alex Cristofaro,Ethyl65-75C;0.2J;_rxn_M_inorganic;_rxn_M_organic;_rxn_M_acid,
2,C,1,C1,67,1,58281,4,escalation_BOGPamine_1.4,Alex Cristofaro,Ethyl65-75C;0.2J;_rxn_M_inorganic;_rxn_M_organic;_rxn_M_acid,
3,E,1,E1,67,1,141804,4,escalation_BOGPamine_1.4,Alex Cristofaro,Ethyl65-75C;0.2J;_rxn_M_inorganic;_rxn_M_organic;_rxn_M_acid,
4,G,1,G1,67,1,104973,4,escalation_BOGPamine_1.4,Alex Cristofaro,Ethyl65-75C;0.2J;_rxn_M_inorganic;_rxn_M_organic;_rxn_M_acid,
5,B,1,B1,67,1,364351,4,escalation_BOGPamine_1.4,Alex Cristofaro,Ethyl65-75C;0.2J;_rxn_M_inorganic;_rxn_M_organic;_rxn_M_acid,
6,D,1,D1,67,1,251468,4,escalation_BOGPamine_1.4,Alex Cristofaro,Ethyl65-75C;0.2J;_rxn_M_inorganic;_rxn_M_organic;_rxn_M_acid,
7,F,1,F1,67,1,195514,4,escalation_BOGPamine_1.4,Alex Cristofaro,Ethyl65-75C;0.2J;_rxn_M_inorganic;_rxn_M_organic;_rxn_M_acid,
8,H,1,H1,67,1,181163,4,escalation_BOGPamine_1.4,Alex Cristofaro,Ethyl65-75C;0.2J;_rxn_M_inorganic;_rxn_M_organic;_rxn_M_acid,
9,A,2,A2,67,1,187787,4,escalation_BOGPamine_1.4,Alex Cristofaro,Ethyl65-75C;0.2J;_rxn_M_inorganic;_rxn_M_organic;_rxn_M_acid,
10,C,2,C2,67,1,223591,4,escalation_BOGPamine_1.4,Alex Cristofaro,Ethyl65-75C;0.2J;_rxn_M_inorganic;_rxn_M_organic;_rxn_M_acid,
11,E,2,E2,67,1,106708,4,escalation_BOGPamine_1.4,Alex Cristofaro,Ethyl65-75C;0.2J;_rxn_M_inorganic;_rxn_M_organic;_rxn_M_acid,
12,G,2,G2,67,1,171292,4,escalation_BOGPamine_1.4,Alex Cristofaro,Ethyl65-75C;0.2J;_rxn_M_inorganic;_rxn_M_organic;_rxn_M_acid,
13,B,2,B2,67,1,81089,4,escalation_BOGPamine_1.4,Alex Cristofaro,Ethyl65-75C;0.2J;_rxn_M_inorganic;_rxn_M_organic;_rxn_M_acid,
14,D,2,D2,67,1,292412,4,escalation_BOGPamine_1.4,Alex Cristofaro,Ethyl65-75C;0.2J;_rxn_M_inorganic;_rxn_M_organic;_rxn_M_acid,
15,F,2,F2,67,1,296334,4,escalation_BOGPamine_1.4,Alex Cristofaro,Ethyl65-75C;0.2J;_rxn_M_inorganic;_rxn_M_organic;_rxn_M_acid,
16,H,2,H2,67,1,38961,4,escalation_BOGPamine_1.4,Alex Cristofaro,Ethyl65-75C;0.2J;_rxn_M_inorganic;_rxn_M_organic;_rxn_M_acid,
17,A,3,A3,67,4,350322,4,escalation_replicates_1.0,Alex Cristofaro,Replicate_experiment_crank0020_2500,
18,C,3,C3,67,4,368574,4,escalation_replicates_1.0,Alex Cristofaro,Replicate_experiment_crank0020_2159,
19,E,3,E3,67,4,372432,4,escalation_replicates_1.0,Alex Cristofaro,Replicate_experiment_crank0020_2660,
20,G,3,G3,67,4,383316,4,escalation_replicates_1.0,Alex Cristofaro,Replicate_experiment_crank0020_2192,
21,B,3,B3,67,4,398755,4,escalation_replicates_1.0,Alex Cristofaro,Replicate_experiment_crank0020_2134,
22,D,3,D3,67,4,405450,4,escalation_replicates_1.0,Alex Cristofaro,Replicate_experiment_crank0020_2095,
23,F,3,F3,67,4,412121,4,escalation_replicates_1.0,Alex Cristofaro,Replicate_experiment_crank0020_2108,
24,H,3,H3,67,4,418066,4,escalation_replicates_1.0,Alex Cristofaro,Replicate_experiment_crank0020_2635,
25,A,4,A4,67,4,412801,4,escalation_replicates_1.0,Alex Cristofaro,Replicate_experiment_crank0020_2267,
26,C,4,C4,67,4,419821,4,escalation_replicates_1.0,Alex Cristofaro,Replicate_experiment_crank0020_2651,
27,E,4,E4,67,4,422629,4,escalation_replicates_1.0,Alex Cristofaro,Replicate_experiment_crank0020_2148,
28,G,4,G4,67,1,403451,4,escalation_replicates_1.0,Alex Cristofaro,Replicate_experiment_crank0020_2164,
29,B,4,B4,67,4,411068,4,escalation_replicates_1.0,Alex Cristofaro,Replicate_experiment_crank0020_2468,
30,D,4,D4,67,4,411391,4,escalation_replicates_1.0,Alex Cristofaro,Replicate_experiment_crank0020_2493,
31,F,4,F4,67,4,405074,4,escalation_replicates_1.0,Alex Cristofaro,Replicate_experiment_crank0020_2243,
32,H,4,H4,67,4,423458,4,escalation_replicates_1.0,Alex Cristofaro,Replicate_experiment_crank0020_2707,
33,A,5,A5,67,2,423348,4,escalation_replicates_1.0,Alex Cristofaro,Replicate_experiment_crank0020_2107,
34,C,5,C5,67,4,433532,4,escalation_replicates_1.0,Alex Cristofaro,Replicate_experiment_crank0020_2471,
35,E,5,E5,67,2,418056,4,escalation_replicates_1.0,Alex Cristofaro,Replicate_experiment_crank0020_2702,
36,G,5,G5,67,4,418081,4,escalation_replicates_1.0,Alex Cristofaro,Replicate_experiment_crank0020_2098,
37,B,5,B5,67,1,414195,4,escalation_replicates_1.0,Alex Cristofaro,Replicate_experiment_crank0020_2706,
38,D,5,D5,67,4,425428,4,escalation_replicates_1.0,Alex Cristofaro,Replicate_experiment_crank0020_2679,
39,F,5,F5,67,1,415248,4,escalation_replicates_1.0,Alex Cristofaro,Replicate_experiment_crank0020_2703,
40,H,5,H5,67,4,432873,4,escalation_replicates_1.0,Alex Cristofaro,Replicate_experiment_crank0020_2274,
41,A,6,A6,67,1,417355,4,escalation_replicates_1.0,Alex Cristofaro,Replicate_experiment_crank0020_2252,
42,C,6,C6,67,4,442627,4,escalation_replicates_1.0,Alex Cristofaro,Replicate_experiment_crank0020_2701,
43,E,6,E6,67,4,448948,4,escalation_replicates_1.0,Alex Cristofaro,Replicate_experiment_crank0020_2489,
44,G,6,G6,67,4,449647,4,escalation_replicates_1.0,Alex Cristofaro,Replicate_experiment_crank0020_2257,
45,B,6,B6,67,4,455617,4,escalation_replicates_1.0,Alex Cristofaro,Replicate_experiment_crank0020_2487,
46,D,6,D6,67,2,461939,4,escalation_replicates_1.0,Alex Cristofaro,Replicate_experiment_crank0020_2465,
47,F,6,F6,67,4,463692,4,escalation_replicates_1.0,Alex Cristofaro,Replicate_experiment_crank0020_2473,
48,H,6,H6,67,4,450346,4,escalation_replicates_1.0,Alex Cristofaro,Replicate_experiment_crank0020_2109,
49,A,7,A7,67,1,273085,4,escalation_HC.RL_1,Haverford RL,,
50,C,7,C7,67,1,371365,4,escalation_HC.RL_1,Haverford RL,,
51,E,7,E7,67,1,296257,4,escalation_HC.RL_1,Haverford RL,,
52,G,7,G7,67,1,394610,4,escalation_HC.RL_1,Haverford RL,,
53,B,7,B7,67,1,266465,4,escalation_HC.RL_1,Haverford RL,,
54,D,7,D7,67,1,376328,4,escalation_HC.RL_1,Haverford RL,,
55,F,7,F7,67,1,301873,4,escalation_HC.RL_1,Haverford RL,,
56,H,7,H7,67,1,312403,4,escalation_HC.RL_1,Haverford RL,,
57,A,8,A8,67,1,424766,4,escalation_HC.RL_1,Haverford RL,,
58,C,8,C8,67,4,447187,4,escalation_HC.RL_1,Haverford RL,,
59,E,8,E8,67,1,384001,4,escalation_HC.RL_1,Haverford RL,,
60,G,8,G8,67,1,322231,4,escalation_HC.RL_1,Haverford RL,,
61,B,8,B8,67,4,,4,escalate_ReproducabilityTesting_0,Ian Pendleton,2019-02-19T00_39_49.082039+00_00_LBL_D1,
62,D,8,D8,67,4,,4,escalate_ReproducabilityTesting_0,Ian Pendleton,2019-02-19T00_39_49.082039+00_00_LBL_A2,
63,F,8,F8,67,4,,4,escalate_ReproducabilityTesting_0,Ian Pendleton,2019-02-19T00_39_49.082039+00_00_LBL_B2,
64,H,8,H8,67,4,,4,escalate_ReproducabilityTesting_0,Ian Pendleton,2019-02-19T00_39_49.082039+00_00_LBL_D2,
65,A,9,A9,67,4,,4,escalate_ReproducabilityTesting_0,Ian Pendleton,2019-02-19T00_39_49.082039+00_00_LBL_F3,
66,C,9,C9,67,1,,3,escalate_ReproducabilityTesting_0,Ian Pendleton,2019-02-19T00_39_49.082039+00_00_LBL_E4,
67,E,9,E9,67,4,,4,escalate_ReproducabilityTesting_0,Ian Pendleton,2019-02-19T00_39_49.082039+00_00_LBL_C5,
68,G,9,G9,67,4,,4,escalate_ReproducabilityTesting_0,Ian Pendleton,2019-02-19T00_39_49.082039+00_00_LBL_D5,
