Robot Number,Vial Site (1),Vial Site (2),Concatenated Vial site,Bulk Actual Temp (C),Crystal Score,identifier,_out_predicted,modelname,participantname,notes,class_probability
1,A,1,A1,95,1,375243,null,escalation_BOGPall_1.0,Alex Cristofaro,gaussian process classifier	alex cristofaro	all_amides;kfold=5;mean_auc=0.93;auc_std=0.01;kernel=matern32;eucdist_threshold=0.05;normalization=sklearn.preprocessing.scaled	,
2,C,1,C1,95,1,100819,null,escalation_BOGPall_1.0,Alex Cristofaro,gaussian process classifier	alex cristofaro	all_amides;kfold=5;mean_auc=0.93;auc_std=0.01;kernel=matern32;eucdist_threshold=0.05;normalization=sklearn.preprocessing.scaled	,
3,E,1,E1,95,1,350298,null,escalation_BOGPall_1.0,Alex Cristofaro,gaussian process classifier	alex cristofaro	all_amides;kfold=5;mean_auc=0.93;auc_std=0.01;kernel=matern32;eucdist_threshold=0.05;normalization=sklearn.preprocessing.scaled	,
4,G,1,G1,95,1,174476,null,escalation_BOGPall_1.0,Alex Cristofaro,gaussian process classifier	alex cristofaro	all_amides;kfold=5;mean_auc=0.93;auc_std=0.01;kernel=matern32;eucdist_threshold=0.05;normalization=sklearn.preprocessing.scaled	,
5,B,1,B1,95,1,373126,null,escalation_BOGPall_1.0,Alex Cristofaro,gaussian process classifier	alex cristofaro	all_amides;kfold=5;mean_auc=0.93;auc_std=0.01;kernel=matern32;eucdist_threshold=0.05;normalization=sklearn.preprocessing.scaled	,
6,D,1,D1,95,1,207452,null,escalation_BOGPall_1.0,Alex Cristofaro,gaussian process classifier	alex cristofaro	all_amides;kfold=5;mean_auc=0.93;auc_std=0.01;kernel=matern32;eucdist_threshold=0.05;normalization=sklearn.preprocessing.scaled	,
7,F,1,F1,95,1,452099,null,escalation_BOGPall_1.0,Alex Cristofaro,gaussian process classifier	alex cristofaro	all_amides;kfold=5;mean_auc=0.93;auc_std=0.01;kernel=matern32;eucdist_threshold=0.05;normalization=sklearn.preprocessing.scaled	,
8,H,1,H1,95,1,292384,null,escalation_BOGPall_1.0,Alex Cristofaro,gaussian process classifier	alex cristofaro	all_amides;kfold=5;mean_auc=0.93;auc_std=0.01;kernel=matern32;eucdist_threshold=0.05;normalization=sklearn.preprocessing.scaled	,
9,A,2,A2,95,1,215271,null,escalation_BOGPall_1.0,Alex Cristofaro,gaussian process classifier	alex cristofaro	all_amides;kfold=5;mean_auc=0.93;auc_std=0.01;kernel=matern32;eucdist_threshold=0.05;normalization=sklearn.preprocessing.scaled	,
10,C,2,C2,95,1,202543,null,escalation_BOGPall_1.0,Alex Cristofaro,gaussian process classifier	alex cristofaro	all_amides;kfold=5;mean_auc=0.93;auc_std=0.01;kernel=matern32;eucdist_threshold=0.05;normalization=sklearn.preprocessing.scaled	,
11,E,2,E2,95,1,64946,null,escalation_BOGPall_1.0,Alex Cristofaro,gaussian process classifier	alex cristofaro	all_amides;kfold=5;mean_auc=0.93;auc_std=0.01;kernel=matern32;eucdist_threshold=0.05;normalization=sklearn.preprocessing.scaled	,
12,G,2,G2,95,1,360833,null,escalation_BOGPall_1.0,Alex Cristofaro,gaussian process classifier	alex cristofaro	all_amides;kfold=5;mean_auc=0.93;auc_std=0.01;kernel=matern32;eucdist_threshold=0.05;normalization=sklearn.preprocessing.scaled	,
13,B,2,B2,95,1,402956,null,escalation_BOGPall_1.0,Alex Cristofaro,gaussian process classifier	alex cristofaro	all_amides;kfold=5;mean_auc=0.93;auc_std=0.01;kernel=matern32;eucdist_threshold=0.05;normalization=sklearn.preprocessing.scaled	,
14,D,2,D2,95,1,226747,null,escalation_BOGPall_1.0,Alex Cristofaro,gaussian process classifier	alex cristofaro	all_amides;kfold=5;mean_auc=0.93;auc_std=0.01;kernel=matern32;eucdist_threshold=0.05;normalization=sklearn.preprocessing.scaled	,
15,F,2,F2,95,1,101463,null,escalation_BOGPall_1.0,Alex Cristofaro,gaussian process classifier	alex cristofaro	all_amides;kfold=5;mean_auc=0.93;auc_std=0.01;kernel=matern32;eucdist_threshold=0.05;normalization=sklearn.preprocessing.scaled	,
16,H,2,H2,95,1,390358,null,escalation_BOGPall_1.0,Alex Cristofaro,gaussian process classifier	alex cristofaro	all_amides;kfold=5;mean_auc=0.93;auc_std=0.01;kernel=matern32;eucdist_threshold=0.05;normalization=sklearn.preprocessing.scaled	,
17,A,3,A3,95,1,74151,null,escalation_BOGPall_1.0,Alex Cristofaro,gaussian process classifier	alex cristofaro	all_amides;kfold=5;mean_auc=0.93;auc_std=0.01;kernel=matern32;eucdist_threshold=0.05;normalization=sklearn.preprocessing.scaled	,
18,C,3,C3,95,1,16854,null,escalation_BOGPall_1.0,Alex Cristofaro,gaussian process classifier	alex cristofaro	all_amides;kfold=5;mean_auc=0.93;auc_std=0.01;kernel=matern32;eucdist_threshold=0.05;normalization=sklearn.preprocessing.scaled	,
19,E,3,E3,95,1,450686,null,escalation_BOGPall_1.0,Alex Cristofaro,gaussian process classifier	alex cristofaro	all_amides;kfold=5;mean_auc=0.93;auc_std=0.01;kernel=matern32;eucdist_threshold=0.05;normalization=sklearn.preprocessing.scaled	,
