Robot Number,Vial Site (1),Vial Site (2),Concatenated Vial site,Experiment Name,Bulk Actual Temp (C),Crystal Score,identifier,_out_predicted,modelname,participantname,notes,class_probability
1,A,1,A1,Model Fusion Push 1,85,4,,,escalate_MathematicaUniformRandom_1,escalate,,
5,B,1,B1,Model Fusion Push 1,85,4,,,escalation_CombinatorialFusionAnomalies_1.0,Yuanqing Tang,2019-03-12T15_22_17.125738+00_00_LBL_C1,
2,C,1,C1,Model Fusion Push 1,85,4,,,escalation_CombinatorialFusionAnomalies_1.0,Yuanqing Tang,2019-03-12T15_22_17.125738+00_00_LBL_C1,
6,D,1,D1,Model Fusion Push 1,85,4,,,escalation_CombinatorialFusionAnomalies_1.0,Yuanqing Tang,2019-03-12T15_22_17.125738+00_00_LBL_C11,
3,E,1,E1,Model Fusion Push 1,85,1,,,escalation_CombinatorialFusionAnomalies_1.0,Yuanqing Tang,2018-09-17T21_43_06.730215+00_00_LBL_E1,
7,F,1,F1,Model Fusion Push 1,85,1,,,escalation_CombinatorialFusionAnomalies_1.0,Yuanqing Tang,2019-03-12T15_22_17.125738+00_00_LBL_C8,
4,G,1,G1,Model Fusion Push 1,85,1,,,escalate_MathematicaUniformRandom_1,escalate,,
8,H,1,H1,Model Fusion Push 1,85,1,,,escalation_CombinatorialFusionAnomalies_1.0,Yuanqing Tang,2019-03-12T15_22_17.125738+00_00_LBL_D2,
9,A,2,A2,Model Fusion Push 1,85,4,,,escalation_CombinatorialFusionAnomalies_1.0,Yuanqing Tang,2019-03-12T15_22_17.125738+00_00_LBL_D8,
13,B,2,B2,Model Fusion Push 1,85,1,,,escalate_MathematicaUniformRandom_1,escalate,,
10,C,2,C2,Model Fusion Push 1,85,1,,,escalate_MathematicaUniformRandom_1,escalate,,
14,D,2,D2,Model Fusion Push 1,85,1,,,escalation_CombinatorialFusionAnomalies_1.0,Yuanqing Tang,2019-03-12T15_22_17.125738+00_00_LBL_D2,
11,E,2,E2,Model Fusion Push 1,85,1,,,escalate_MathematicaUniformRandom_1,escalate,,
15,F,2,F2,Model Fusion Push 1,85,4,,,escalation_CombinatorialFusionAnomalies_1.0,Yuanqing Tang,2019-03-12T15_22_17.125738+00_00_LBL_C1,
12,G,2,G2,Model Fusion Push 1,85,1,,,escalate_MathematicaUniformRandom_1,escalate,,
16,H,2,H2,Model Fusion Push 1,85,4,,,escalation_CombinatorialFusionAnomalies_1.0,Yuanqing Tang,2019-03-12T15_22_17.125738+00_00_LBL_C11,
17,A,3,A3,Model Fusion Push 1,85,1,,,escalation_CombinatorialFusionAnomalies_1.0,Yuanqing Tang,2019-03-12T15_22_17.125738+00_00_LBL_C8,
21,B,3,B3,Model Fusion Push 1,85,4,,,escalate_MathematicaUniformRandom_1,escalate,,
18,C,3,C3,Model Fusion Push 1,85,1,,,escalation_CombinatorialFusionAnomalies_1.0,Yuanqing Tang,2019-03-12T15_22_17.125738+00_00_LBL_D2,
22,D,3,D3,Model Fusion Push 1,85,1,,,escalate_MathematicaUniformRandom_1,escalate,,
19,E,3,E3,Model Fusion Push 1,85,1,,,escalation_CombinatorialFusionAnomalies_1.0,Yuanqing Tang,2019-03-12T15_22_17.125738+00_00_LBL_D8,
23,F,3,F3,Model Fusion Push 1,85,1,,,escalate_MathematicaUniformRandom_1,escalate,,
20,G,3,G3,Model Fusion Push 1,85,1,,,escalate_MathematicaUniformRandom_1,escalate,,
24,H,3,H3,Model Fusion Push 1,85,1,,,escalate_MathematicaUniformRandom_1,escalate,,
25,A,4,A4,Model Fusion Push 1,85,4,,,escalate_MathematicaUniformRandom_1,escalate,,
29,B,4,B4,Model Fusion Push 1,85,1,,,escalate_MathematicaUniformRandom_1,escalate,,
26,C,4,C4,Model Fusion Push 1,85,1,,,escalate_MathematicaUniformRandom_1,escalate,,
30,D,4,D4,Model Fusion Push 1,85,1,,,escalate_MathematicaUniformRandom_1,escalate,,
27,E,4,E4,Model Fusion Push 1,85,1,,,escalate_MathematicaUniformRandom_1,escalate,,
31,F,4,F4,Model Fusion Push 1,85,1,,,escalate_MathematicaUniformRandom_1,escalate,,
28,G,4,G4,Model Fusion Push 1,85,4,,,escalate_MathematicaUniformRandom_1,escalate,,
32,H,4,H4,Model Fusion Push 1,85,4,,,escalate_MathematicaUniformRandom_1,escalate,,
33,A,5,A5,Model Fusion Push 1,85,1,,,escalate_MathematicaUniformRandom_1,escalate,,
37,B,5,B5,Model Fusion Push 1,85,1,,,escalate_MathematicaUniformRandom_1,escalate,,
34,C,5,C5,Model Fusion Push 1,85,4,,,escalate_MathematicaUniformRandom_1,escalate,,
38,D,5,D5,Model Fusion Push 1,85,1,,,escalate_MathematicaUniformRandom_1,escalate,,
35,E,5,E5,Model Fusion Push 1,85,4,,,escalate_MathematicaUniformRandom_1,escalate,,
39,F,5,F5,Model Fusion Push 1,85,4,,,escalate_MathematicaUniformRandom_1,escalate,,
36,G,5,G5,Model Fusion Push 1,85,1,,,escalate_MathematicaUniformRandom_1,escalate,,
40,H,5,H5,Model Fusion Push 1,85,4,,,escalate_MathematicaUniformRandom_1,escalate,,
41,A,6,A6,Model Fusion Push 1,85,1,,,escalate_MathematicaUniformRandom_1,escalate,,
45,B,6,B6,Model Fusion Push 1,85,1,,,escalate_MathematicaUniformRandom_1,escalate,,
42,C,6,C6,Model Fusion Push 1,85,1,,,escalate_MathematicaUniformRandom_1,escalate,,
46,D,6,D6,Model Fusion Push 1,85,1,,,escalate_MathematicaUniformRandom_1,escalate,,
43,E,6,E6,Model Fusion Push 1,85,1,,,escalate_MathematicaUniformRandom_1,escalate,,
47,F,6,F6,Model Fusion Push 1,85,1,,,escalate_MathematicaUniformRandom_1,escalate,,
44,G,6,G6,Model Fusion Push 1,85,1,,,escalate_MathematicaUniformRandom_1,escalate,,
48,H,6,H6,Model Fusion Push 1,85,4,,,escalate_MathematicaUniformRandom_1,escalate,,
49,A,7,A7,Model Fusion Push 1,85,1,,,escalation_CombinatorialFusionAnomalies_1.0,Yuanqing Tang,2018-09-17T21_43_06.730215+00_00_LBL_E1,
53,B,7,B7,Model Fusion Push 1,85,1,,,escalate_MathematicaUniformRandom_1,escalate,,
50,C,7,C7,Model Fusion Push 1,85,4,,,escalate_MathematicaUniformRandom_1,escalate,,
54,D,7,D7,Model Fusion Push 1,85,1,,,escalate_MathematicaUniformRandom_1,escalate,,
51,E,7,E7,Model Fusion Push 1,85,1,,,escalate_MathematicaUniformRandom_1,escalate,,
55,F,7,F7,Model Fusion Push 1,85,1,,,escalate_MathematicaUniformRandom_1,escalate,,
52,G,7,G7,Model Fusion Push 1,85,1,,,escalate_MathematicaUniformRandom_1,escalate,,
56,H,7,H7,Model Fusion Push 1,85,1,,,escalate_MathematicaUniformRandom_1,escalate,,
57,A,8,A8,Model Fusion Push 1,85,1,,,escalate_MathematicaUniformRandom_1,escalate,,
61,B,8,B8,Model Fusion Push 1,85,4,,,escalate_MathematicaUniformRandom_1,escalate,,
58,C,8,C8,Model Fusion Push 1,85,1,,,escalation_CombinatorialFusionAnomalies_1.0,Yuanqing Tang,2019-03-12T15_22_17.125738+00_00_LBL_C8,
62,D,8,D8,Model Fusion Push 1,85,1,,,escalation_CombinatorialFusionAnomalies_1.0,Yuanqing Tang,2019-03-12T15_22_17.125738+00_00_LBL_D8,
59,E,8,E8,Model Fusion Push 1,85,1,,,escalate_MathematicaUniformRandom_1,escalate,,
63,F,8,F8,Model Fusion Push 1,85,1,,,escalate_MathematicaUniformRandom_1,escalate,,
60,G,8,G8,Model Fusion Push 1,85,1,,,escalate_MathematicaUniformRandom_1,escalate,,
64,H,8,H8,Model Fusion Push 1,85,1,,,escalation_CombinatorialFusionAnomalies_1.0,Yuanqing Tang,2018-09-17T21_43_06.730215+00_00_LBL_E1,
65,A,9,A9,Model Fusion Push 1,85,1,,,escalation_CombinatorialFusionAnomalies_1.0,Yuanqing Tang,2018-09-17T21_43_06.730215+00_00_LBL_E1,
69,B,9,B9,Model Fusion Push 1,85,1,,,escalate_MathematicaUniformRandom_1,escalate,,
66,C,9,C9,Model Fusion Push 1,85,1,,,escalate_MathematicaUniformRandom_1,escalate,,
70,D,9,D9,Model Fusion Push 1,85,1,,,escalate_MathematicaUniformRandom_1,escalate,,
67,E,9,E9,Model Fusion Push 1,85,1,,,escalate_MathematicaUniformRandom_1,escalate,,
71,F,9,F9,Model Fusion Push 1,85,2,,,escalate_MathematicaUniformRandom_1,escalate,,
68,G,9,G9,Model Fusion Push 1,85,1,,,escalate_MathematicaUniformRandom_1,escalate,,
72,H,9,H9,Model Fusion Push 1,85,1,,,escalate_MathematicaUniformRandom_1,escalate,,
73,A,10,A10,Model Fusion Push 1,85,1,,,escalate_MathematicaUniformRandom_1,escalate,,
77,B,10,B10,Model Fusion Push 1,85,1,,,escalate_MathematicaUniformRandom_1,escalate,,
74,C,10,C10,Model Fusion Push 1,85,4,,,escalate_MathematicaUniformRandom_1,escalate,,
78,D,10,D10,Model Fusion Push 1,85,4,,,escalate_MathematicaUniformRandom_1,escalate,,
75,E,10,E10,Model Fusion Push 1,85,1,,,escalate_MathematicaUniformRandom_1,escalate,,
79,F,10,F10,Model Fusion Push 1,85,1,,,escalate_MathematicaUniformRandom_1,escalate,,
76,G,10,G10,Model Fusion Push 1,85,1,,,escalate_MathematicaUniformRandom_1,escalate,,
80,H,10,H10,Model Fusion Push 1,85,4,,,escalate_MathematicaUniformRandom_1,escalate,,
81,A,11,A11,Model Fusion Push 1,85,1,,,escalate_MathematicaUniformRandom_1,escalate,,
85,B,11,B11,Model Fusion Push 1,85,1,,,escalate_MathematicaUniformRandom_1,escalate,,
82,C,11,C11,Model Fusion Push 1,85,4,,,escalation_CombinatorialFusionAnomalies_1.0,Yuanqing Tang,2019-03-12T15_22_17.125738+00_00_LBL_C11,
86,D,11,D11,Model Fusion Push 1,85,1,,,escalate_MathematicaUniformRandom_1,escalate,,
83,E,11,E11,Model Fusion Push 1,85,1,,,escalate_MathematicaUniformRandom_1,escalate,,
87,F,11,F11,Model Fusion Push 1,85,1,,,escalate_MathematicaUniformRandom_1,escalate,,
84,G,11,G11,Model Fusion Push 1,85,1,,,escalate_MathematicaUniformRandom_1,escalate,,
88,H,11,H11,Model Fusion Push 1,85,1,,,escalate_MathematicaUniformRandom_1,escalate,,
89,A,12,A12,Model Fusion Push 1,85,1,,,escalate_MathematicaUniformRandom_1,escalate,,
93,B,12,B12,Model Fusion Push 1,85,1,,,escalate_MathematicaUniformRandom_1,escalate,,
90,C,12,C12,Model Fusion Push 1,85,1,,,escalate_MathematicaUniformRandom_1,escalate,,
94,D,12,D12,Model Fusion Push 1,85,1,,,escalate_MathematicaUniformRandom_1,escalate,,
91,E,12,E12,Model Fusion Push 1,85,1,,,escalate_MathematicaUniformRandom_1,escalate,,
95,F,12,F12,Model Fusion Push 1,85,1,,,escalate_MathematicaUniformRandom_1,escalate,,
92,G,12,G12,Model Fusion Push 1,85,1,,,escalate_MathematicaUniformRandom_1,escalate,,
96,H,12,H12,Model Fusion Push 1,85,1,,,escalate_MathematicaUniformRandom_1,escalate,,
