Robot Number,Vial Site (1),Vial Site (2),Concatenated Vial site,Bulk Actual Temp (C),Crystal Score,identifier,_out_predicted,modelname,participantname,notes,class_probability
1,A,1,A1,67,1,321520,4,escalation_BOGPamine_1.4,Alex Cristofaro,Ethyl65-75C;0.2J;_rxn_M_inorganic;_rxn_M_organic;_rxn_M_acid,
2,C,1,C1,67,1,274487,4,escalation_BOGPamine_1.4,Alex Cristofaro,Ethyl65-75C;0.2J;_rxn_M_inorganic;_rxn_M_organic;_rxn_M_acid,
3,E,1,E1,67,1,188500,4,escalation_BOGPamine_1.4,Alex Cristofaro,Ethyl65-75C;0.2J;_rxn_M_inorganic;_rxn_M_organic;_rxn_M_acid,
4,G,1,G1,67,1,114789,4,escalation_BOGPamine_1.4,Alex Cristofaro,Ethyl65-75C;0.2J;_rxn_M_inorganic;_rxn_M_organic;_rxn_M_acid,
5,B,1,B1,67,1,80029,4,escalation_BOGPamine_1.4,Alex Cristofaro,Ethyl65-75C;0.2J;_rxn_M_inorganic;_rxn_M_organic;_rxn_M_acid,
6,D,1,D1,67,1,263305,4,escalation_BOGPamine_1.4,Alex Cristofaro,Ethyl65-75C;0.2J;_rxn_M_inorganic;_rxn_M_organic;_rxn_M_acid,
7,F,1,F1,67,1,20009,4,escalation_BOGPamine_1.4,Alex Cristofaro,Ethyl65-75C;0.2J;_rxn_M_inorganic;_rxn_M_organic;_rxn_M_acid,
8,H,1,H1,67,1,302928,4,escalation_BOGPamine_1.4,Alex Cristofaro,Ethyl65-75C;0.2J;_rxn_M_inorganic;_rxn_M_organic;_rxn_M_acid,
9,A,2,A2,67,1,136542,4,escalation_BOGPamine_1.4,Alex Cristofaro,Ethyl65-75C;0.2J;_rxn_M_inorganic;_rxn_M_organic;_rxn_M_acid,
10,C,2,C2,67,1,218675,4,escalation_BOGPamine_1.4,Alex Cristofaro,Ethyl65-75C;0.2J;_rxn_M_inorganic;_rxn_M_organic;_rxn_M_acid,
11,E,2,E2,67,1,365809,4,escalation_BOGPamine_1.4,Alex Cristofaro,Ethyl65-75C;0.2J;_rxn_M_inorganic;_rxn_M_organic;_rxn_M_acid,
12,G,2,G2,67,1,445501,4,escalation_BOGPamine_1.4,Alex Cristofaro,Ethyl65-75C;0.2J;_rxn_M_inorganic;_rxn_M_organic;_rxn_M_acid,
13,B,2,B2,67,1,135141,4,escalation_BOGPamine_1.4,Alex Cristofaro,Ethyl65-75C;0.2J;_rxn_M_inorganic;_rxn_M_organic;_rxn_M_acid,
14,D,2,D2,67,1,185383,4,escalation_BOGPamine_1.4,Alex Cristofaro,Ethyl65-75C;0.2J;_rxn_M_inorganic;_rxn_M_organic;_rxn_M_acid,
15,F,2,F2,67,1,103207,4,escalation_BOGPamine_1.4,Alex Cristofaro,Ethyl65-75C;0.2J;_rxn_M_inorganic;_rxn_M_organic;_rxn_M_acid,
16,H,2,H2,67,1,298001,4,escalation_BOGPamine_1.4,Alex Cristofaro,Ethyl65-75C;0.2J;_rxn_M_inorganic;_rxn_M_organic;_rxn_M_acid,
17,A,3,A3,67,1,326446,4,escalation_BOGPamine_1.4,Alex Cristofaro,Ethyl65-75C;0.2J;_rxn_M_inorganic;_rxn_M_organic;_rxn_M_acid,
18,C,3,C3,67,1,163567,4,escalation_BOGPamine_1.4,Alex Cristofaro,Ethyl65-75C;0.2J;_rxn_M_inorganic;_rxn_M_organic;_rxn_M_acid,
19,E,3,E3,67,1,232725,4,escalation_BOGPamine_1.4,Alex Cristofaro,Ethyl65-75C;0.2J;_rxn_M_inorganic;_rxn_M_organic;_rxn_M_acid,
20,G,3,G3,67,1,77922,4,escalation_BOGPamine_1.4,Alex Cristofaro,Ethyl65-75C;0.2J;_rxn_M_inorganic;_rxn_M_organic;_rxn_M_acid,
21,B,3,B3,67,1,447880,4,escalation_BOGPamine_1.4,Alex Cristofaro,Ethyl65-75C;0.2J;_rxn_M_inorganic;_rxn_M_organic;_rxn_M_acid,
22,D,3,D3,67,1,106710,4,escalation_BOGPamine_1.4,Alex Cristofaro,Ethyl65-75C;0.2J;_rxn_M_inorganic;_rxn_M_organic;_rxn_M_acid,
23,F,3,F3,67,1,190606,4,escalation_BOGPamine_1.4,Alex Cristofaro,Ethyl65-75C;0.2J;_rxn_M_inorganic;_rxn_M_organic;_rxn_M_acid,
24,H,3,H3,67,1,39319,4,escalation_BOGPamine_1.4,Alex Cristofaro,Ethyl65-75C;0.2J;_rxn_M_inorganic;_rxn_M_organic;_rxn_M_acid,
25,A,4,A4,67,1,329239,4,escalation_BOGPamine_1.4,Alex Cristofaro,Ethyl65-75C;0.2J;_rxn_M_inorganic;_rxn_M_organic;_rxn_M_acid,
26,C,4,C4,67,1,463672,4,escalation_BOGPamine_1.4,Alex Cristofaro,Ethyl65-75C;0.2J;_rxn_M_inorganic;_rxn_M_organic;_rxn_M_acid,
27,E,4,E4,67,1,84241,4,escalation_BOGPamine_1.4,Alex Cristofaro,Ethyl65-75C;0.2J;_rxn_M_inorganic;_rxn_M_organic;_rxn_M_acid,
28,G,4,G4,67,1,50546,4,escalation_BOGPamine_1.4,Alex Cristofaro,Ethyl65-75C;0.2J;_rxn_M_inorganic;_rxn_M_organic;_rxn_M_acid,
29,B,4,B4,67,1,300461,4,escalation_BOGPamine_1.4,Alex Cristofaro,Ethyl65-75C;0.2J;_rxn_M_inorganic;_rxn_M_organic;_rxn_M_acid,
30,D,4,D4,67,1,185761,4,escalation_BOGPamine_1.4,Alex Cristofaro,Ethyl65-75C;0.2J;_rxn_M_inorganic;_rxn_M_organic;_rxn_M_acid,
31,F,4,F4,67,1,201490,4,escalation_BOGPamine_1.4,Alex Cristofaro,Ethyl65-75C;0.2J;_rxn_M_inorganic;_rxn_M_organic;_rxn_M_acid,
32,H,4,H4,67,1,337339,4,escalation_BOGPamine_1.4,Alex Cristofaro,Ethyl65-75C;0.2J;_rxn_M_inorganic;_rxn_M_organic;_rxn_M_acid,
33,A,5,A5,67,2,454653,4,escalation_BOGPamine_1.4,Alex Cristofaro,Ethyl65-75C;0.2J;_rxn_M_inorganic;_rxn_M_organic;_rxn_M_acid,
34,C,5,C5,67,2,446142,4,escalation_BOGPamine_1.4,Alex Cristofaro,Ethyl65-75C;0.2J;_rxn_M_inorganic;_rxn_M_organic;_rxn_M_acid,
35,E,5,E5,67,1,99688,4,escalation_BOGPamine_1.4,Alex Cristofaro,Ethyl65-75C;0.2J;_rxn_M_inorganic;_rxn_M_organic;_rxn_M_acid,
36,G,5,G5,67,1,97932,4,escalation_BOGPamine_1.4,Alex Cristofaro,Ethyl65-75C;0.2J;_rxn_M_inorganic;_rxn_M_organic;_rxn_M_acid,
37,B,5,B5,67,1,146383,4,escalation_BOGPamine_1.4,Alex Cristofaro,Ethyl65-75C;0.2J;_rxn_M_inorganic;_rxn_M_organic;_rxn_M_acid,
38,D,5,D5,67,1,55891,4,escalation_BOGPamine_1.4,Alex Cristofaro,Ethyl65-75C;0.2J;_rxn_M_inorganic;_rxn_M_organic;_rxn_M_acid,
39,F,5,F5,67,1,320848,4,escalation_BOGPamine_1.4,Alex Cristofaro,Ethyl65-75C;0.2J;_rxn_M_inorganic;_rxn_M_organic;_rxn_M_acid,
40,H,5,H5,67,1,388924,4,escalation_BOGPamine_1.4,Alex Cristofaro,Ethyl65-75C;0.2J;_rxn_M_inorganic;_rxn_M_organic;_rxn_M_acid,
41,A,6,A6,67,1,257291,4,escalation_BOGPamine_1.4,Alex Cristofaro,Ethyl65-75C;0.2J;_rxn_M_inorganic;_rxn_M_organic;_rxn_M_acid,
42,C,6,C6,67,1,274510,4,escalation_BOGPamine_1.4,Alex Cristofaro,Ethyl65-75C;0.2J;_rxn_M_inorganic;_rxn_M_organic;_rxn_M_acid,
43,E,6,E6,67,1,427167,4,escalation_BOGPamine_1.4,Alex Cristofaro,Ethyl65-75C;0.2J;_rxn_M_inorganic;_rxn_M_organic;_rxn_M_acid,
44,G,6,G6,67,1,167430,4,escalation_BOGPamine_1.4,Alex Cristofaro,Ethyl65-75C;0.2J;_rxn_M_inorganic;_rxn_M_organic;_rxn_M_acid,
45,B,6,B6,67,1,409266,4,escalation_BOGPamine_1.4,Alex Cristofaro,Ethyl65-75C;0.2J;_rxn_M_inorganic;_rxn_M_organic;_rxn_M_acid,
