Robot Number,Vial Site (1),Vial Site (2),Concatenated Vial site,Bulk Actual Temp (C),Crystal Score,identifier,_out_predicted,modelname,participantname,notes,class_probability
1,A,1,A1,95,1,157516,4,testharness_SVMRadialBasis_1.0,Zhi Li,svm with radial basis function,
5,B,1,B1,95,1,156725,4,testharness_SVMRadialBasis_1.0,Zhi Li,svm with radial basis function,
2,C,1,C1,95,1,157515,4,testharness_SVMRadialBasis_1.0,Zhi Li,svm with radial basis function,
6,D,1,D1,95,1,157518,4,testharness_SVMRadialBasis_1.0,Zhi Li,svm with radial basis function,
3,E,1,E1,95,1,157517,4,testharness_SVMRadialBasis_1.0,Zhi Li,svm with radial basis function,
7,F,1,F1,95,1,157514,4,testharness_SVMRadialBasis_1.0,Zhi Li,svm with radial basis function,
4,G,1,G1,95,1,156709,4,testharness_SVMRadialBasis_1.0,Zhi Li,svm with radial basis function,
8,H,1,H1,95,1,156693,4,testharness_SVMRadialBasis_1.0,Zhi Li,svm with radial basis function,
9,A,2,A2,95,3,152158,4,testharness_LogisticRegression_1.0,Hamed Eramian,Logistic: class_weight='balanced'	Hamed	0.813665,
13,B,2,B2,95,3,148800,4,testharness_LogisticRegression_1.0,Hamed Eramian,Logistic: class_weight='balanced'	Hamed	0.813665,
10,C,2,C2,95,3,148799,4,testharness_LogisticRegression_1.0,Hamed Eramian,Logistic: class_weight='balanced'	Hamed	0.813665,
14,D,2,D2,95,3,140979,4,testharness_LogisticRegression_1.0,Hamed Eramian,Logistic: class_weight='balanced'	Hamed	0.813665,
11,E,2,E2,95,3,152159,4,testharness_LogisticRegression_1.0,Hamed Eramian,Logistic: class_weight='balanced'	Hamed	0.813665,
15,F,2,F2,95,3,152160,4,testharness_LogisticRegression_1.0,Hamed Eramian,Logistic: class_weight='balanced'	Hamed	0.813665,
12,G,2,G2,95,3,144995,4,testharness_LogisticRegression_1.0,Hamed Eramian,Logistic: class_weight='balanced'	Hamed	0.813665,
16,H,2,H2,95,3,144996,4,testharness_LogisticRegression_1.0,Hamed Eramian,Logistic: class_weight='balanced'	Hamed	0.813665,
17,A,3,A3,95,4,68711,4,testharness_gradientboostedtree_1.0,Scott Novotney,Scott Novotney	gradient boosted tree with n_trees=10 max_depth=5;,
21,B,3,B3,95,3,68710,4,testharness_gradientboostedtree_1.0,Scott Novotney,Scott Novotney	gradient boosted tree with n_trees=10 max_depth=5;,
18,C,3,C3,95,3,68475,4,testharness_gradientboostedtree_1.0,Scott Novotney,Scott Novotney	gradient boosted tree with n_trees=10 max_depth=5;,
22,D,3,D3,95,3,68708,4,testharness_gradientboostedtree_1.0,Scott Novotney,Scott Novotney	gradient boosted tree with n_trees=10 max_depth=5;,
19,E,3,E3,95,3,68476,4,testharness_gradientboostedtree_1.0,Scott Novotney,Scott Novotney	gradient boosted tree with n_trees=10 max_depth=5;,
23,F,3,F3,95,3,68477,4,testharness_gradientboostedtree_1.0,Scott Novotney,Scott Novotney	gradient boosted tree with n_trees=10 max_depth=5;,
20,G,3,G3,95,3,68474,4,testharness_gradientboostedtree_1.0,Scott Novotney,Scott Novotney	gradient boosted tree with n_trees=10 max_depth=5;,
24,H,3,H3,95,3,68478,4,testharness_gradientboostedtree_1.0,Scott Novotney,Scott Novotney	gradient boosted tree with n_trees=10 max_depth=5;,
25,A,4,A4,95,4,131198,4,testharness_RandomForestClassifier_1,Hamed Eramian,Random Forest Classifier (4 Classes)	Hamed	n_estimators=361 max_features='auto' criterion='entropy' min_samples_leaf=13 n_jobs=-1 class_weight='balanced',
29,B,4,B4,95,4,127401,4,testharness_RandomForestClassifier_1,Hamed Eramian,Random Forest Classifier (4 Classes)	Hamed	n_estimators=361 max_features='auto' criterion='entropy' min_samples_leaf=13 n_jobs=-1 class_weight='balanced',
26,C,4,C4,95,4,127352,4,testharness_RandomForestClassifier_1,Hamed Eramian,Random Forest Classifier (4 Classes)	Hamed	n_estimators=361 max_features='auto' criterion='entropy' min_samples_leaf=13 n_jobs=-1 class_weight='balanced',
30,D,4,D4,95,4,131199,4,testharness_RandomForestClassifier_1,Hamed Eramian,Random Forest Classifier (4 Classes)	Hamed	n_estimators=361 max_features='auto' criterion='entropy' min_samples_leaf=13 n_jobs=-1 class_weight='balanced',
