Robot Number,Vial Site (1),Vial Site (2),Concatenated Vial site,Bulk Actual Temp (C),Crystal Score,identifier,_out_predicted,modelname,participantname,notes,class_probability
1,A,1,A1,95,4,265381,null,escalation_randombaseline_1.0,Alex Cristofaro,first deploy prerequisite for BOGP run,
2,C,1,C1,95,1,18619,null,escalation_randombaseline_1.0,Alex Cristofaro,first deploy prerequisite for BOGP run,
3,E,1,E1,95,4,85659,null,escalation_randombaseline_1.0,Alex Cristofaro,first deploy prerequisite for BOGP run,
4,G,1,G1,95,2,313117,null,escalation_randombaseline_1.0,Alex Cristofaro,first deploy prerequisite for BOGP run,
5,B,1,B1,95,3,457363,null,escalation_randombaseline_1.0,Alex Cristofaro,first deploy prerequisite for BOGP run,
6,D,1,D1,95,1,52347,null,escalation_randombaseline_1.0,Alex Cristofaro,first deploy prerequisite for BOGP run,
7,F,1,F1,95,1,17935,null,escalation_randombaseline_1.0,Alex Cristofaro,first deploy prerequisite for BOGP run,
8,H,1,H1,95,1,68128,null,escalation_randombaseline_1.0,Alex Cristofaro,first deploy prerequisite for BOGP run,
9,A,2,A2,95,2,118311,null,escalation_randombaseline_1.0,Alex Cristofaro,first deploy prerequisite for BOGP run,
10,C,2,C2,95,2,461233,null,escalation_randombaseline_1.0,Alex Cristofaro,first deploy prerequisite for BOGP run,
11,E,2,E2,95,1,17575,null,escalation_randombaseline_1.0,Alex Cristofaro,first deploy prerequisite for BOGP run,
12,G,2,G2,95,2,459817,null,escalation_randombaseline_1.0,Alex Cristofaro,first deploy prerequisite for BOGP run,
13,B,2,B2,95,1,353114,4,testharness_RandomForestClassifier_1,Hamed Eramian,Random Forest Classifier (4 Classes)	Hamed	n_estimators=361 max_features='auto' criterion='entropy' min_samples_leaf=13 n_jobs=-1 class_weight='balanced',
14,D,2,D2,95,1,353139,4,testharness_RandomForestClassifier_1,Hamed Eramian,Random Forest Classifier (4 Classes)	Hamed	n_estimators=361 max_features='auto' criterion='entropy' min_samples_leaf=13 n_jobs=-1 class_weight='balanced',
