material_composite_description	material_component_description	addressable
Plate: 96 Well	96 Well Plate well#: D3	TRUE
Plate: 96 Well	96 Well Plate well#: D4	TRUE
Plate: 96 Well	96 Well Plate well#: D5	TRUE
Plate: 96 Well	96 Well Plate well#: D6	TRUE
Plate: 96 Well	96 Well Plate well#: D7	TRUE
Plate: 96 Well	96 Well Plate well#: D8	TRUE
Plate: 96 Well	96 Well Plate well#: D9	TRUE
Plate: 96 Well	96 Well Plate well#: D10	TRUE
Plate: 96 Well	96 Well Plate well#: D11	TRUE
Plate: 96 Well	96 Well Plate well#: D12	TRUE
Plate: 96 Well	96 Well Plate well#: E1	TRUE
Plate: 96 Well	96 Well Plate well#: E2	TRUE
Plate: 96 Well	96 Well Plate well#: E3	TRUE
Plate: 96 Well	96 Well Plate well#: E4	TRUE
Plate: 96 Well	96 Well Plate well#: E5	TRUE
Plate: 96 Well	96 Well Plate well#: E6	TRUE
Plate: 96 Well	96 Well Plate well#: E7	TRUE
Plate: 96 Well	96 Well Plate well#: E8	TRUE
Plate: 96 Well	96 Well Plate well#: E9	TRUE
Plate: 96 Well	96 Well Plate well#: E10	TRUE
Plate: 96 Well	96 Well Plate well#: E11	TRUE
Plate: 96 Well	96 Well Plate well#: E12	TRUE
Plate: 96 Well	96 Well Plate well#: F1	TRUE
Plate: 96 Well	96 Well Plate well#: F2	TRUE
Plate: 96 Well	96 Well Plate well#: F3	TRUE
Plate: 96 Well	96 Well Plate well#: F4	TRUE
Plate: 96 Well	96 Well Plate well#: F5	TRUE
Plate: 96 Well	96 Well Plate well#: F6	TRUE
Plate: 96 Well	96 Well Plate well#: F7	TRUE
Plate: 96 Well	96 Well Plate well#: F8	TRUE
Plate: 96 Well	96 Well Plate well#: F9	TRUE
Plate: 96 Well	96 Well Plate well#: F10	TRUE
Plate: 96 Well	96 Well Plate well#: F11	TRUE
Plate: 96 Well	96 Well Plate well#: F12	TRUE
Plate: 96 Well	96 Well Plate well#: G1	TRUE
Plate: 96 Well	96 Well Plate well#: G2	TRUE
Plate: 96 Well	96 Well Plate well#: G3	TRUE
Plate: 96 Well	96 Well Plate well#: G4	TRUE
Plate: 96 Well	96 Well Plate well#: G5	TRUE
Plate: 96 Well	96 Well Plate well#: G6	TRUE
Plate: 96 Well	96 Well Plate well#: G7	TRUE
Plate: 96 Well	96 Well Plate well#: G8	TRUE
Plate: 96 Well	96 Well Plate well#: G9	TRUE
Plate: 96 Well	96 Well Plate well#: G10	TRUE
Plate: 96 Well	96 Well Plate well#: G11	TRUE
Plate: 96 Well	96 Well Plate well#: G12	TRUE
Plate: 96 Well	96 Well Plate well#: H1	TRUE
