description	parameter_def_descriptions	synonym
heat	temperature,duration
heat_stir	speed,duration,temperature
stir	speed,duration	spin
dispense	volume	liquid_handle
bring_to_temperature	temperature
dispense_solid	mass
dwell	duration	store
